DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
36,17,A,decl,27.0,state,"
",exists-frag,location-from-enum,positive,pause,length,10s
36,17,A,decl,27.0,state,"
",exists-frag,location-from-enum,positive,punc,type,level
36,17,A,frag,28.0,state,"
arriving at 9:05 in Euston ",decl,location-time-enum-arrival,positive,punc,type,stop
36,27,A,decl,45.0,state,"
there's not any advance purchase tickets left ",exists-decl,fare-journey,negative,punc,type,stop
36,27,A,decl,46.0,state,"
",,availability,positive,pause,,
36,29,A,decl,50.0,state,"
but you reduce that slightly ",constrain-decl,fare,positive,punc,type,stop
36,31,A,decl,62.0,state,"
but it's classed as two ",constrain-decl,fare-number,positive,overlap,type,start
36,31,A,decl,62.0,state,"
but it's classed as two ",constrain-decl,fare-number,positive,punc,type,stop
36,33,A,decl,68.0,state,"
you're travelling from Birmingham New Street at 7:33 ",frag,location-journey-time-from,positive,punc,type,level
36,33,A,frag,69.0,state,"
",,location-time-arrival,positive,pause,,
36,39,A,decl,77.0,state,"
",effect-benefit-decl,booking,positive,pause,length,3s
36,39,A,decl,77.0,state,"
",effect-benefit-decl,booking,positive,punc,type,stop
36,45,A,decl,91.0,state,"
and it's a full refund less 5 pounds if you have to cancel ",constrain-condition-decl,fare-refund-enum-cancel,positive,backchannel,content,right
36,45,A,decl,91.0,state,"
and it's a full refund less 5 pounds if you have to cancel ",constrain-condition-decl,fare-refund-enum-cancel,positive,punc,type,stop
36,45,A,decl,96.0,state,"
and it's subject to availability and 5 pounds charge ",constrain-decl,fare-availability-enum,positive,punc,type,stop
36,62,B,decl,116.0,state,"
it's ",decl,address,positive,anonym,type,street
36,62,B,decl,116.0,state,"
it's ",decl,address,positive,pause,,
36,62,B,decl,116.0,state,"
it's ",decl,address,positive,punc,type,stop
36,62,B,decl,117.0,state,"
it's number 12 ",decl,number,positive,punc,type,stop
36,79,A,decl,138.0,state,"
this is your reference number your tickets have been booked under ",decl,booking-number-journey,positive,punc,type,stop
36,85,A,decl,144.0,state,"
and 40 pounds exactly's been debited from your debit card ",decl,booking-fare-enum-creditcard,positive,punc,type,stop
37,25,A,decl,42.0,state,"
there's a train at 14:30 from Manchester Picadilly ",exists-decl,location-time-from-enum,positive,punc,type,stop
37,25,A,decl,43.0,state,"
",decl,location-enum-arrival,positive,pause,,
37,25,A,decl,43.0,state,"
",decl,location-enum-arrival,positive,punc,type,stop
37,28,B,decl,49.0,state,"
",report-decl,fare-enum,positive,pause,length,9s
37,28,B,decl,49.0,state,"
",report-decl,fare-enum,positive,punc,type,stop
37,29,A,decl,50.0,state,"
the 19 pounds is not available at the dates and times specified ",decl,fare-availability-date-enum,negative,punc,type,stop
37,33,A,decl,55.0,state,"
that's a Super Advance Return at 30 pounds ",decl,fare-enum,positive,punc,type,stop
38,19,A,decl,29.0,state,"
the train going out on Saturday the trains run at 8 minutes to the hour ",frag,time-enum-day,positive,punc,type,level
38,21,A,decl,31.0,state,"
so they're either 8 minutes to 9 or 8 minutes to 10 ",alternative-decl,enum-time,positive,punc,type,stop
38,25,A,frag,36.0,state,"
",frag,enum-departure,positive,pause,length,3s
38,25,A,frag,36.0,state,"
",frag,enum-departure,positive,punc,type,level
38,25,A,frag,37.0,state,"
arriving in London Euston at 12:17 ",decl,location-time-arrival,positive,punc,type,stop
38,31,A,decl,45.0,state,"
the trains run on the hour from Euston to Macclesfield ",decl,to-location-time-from,positive,punc,type,stop
38,35,A,frag,52.0,state,"
arriving in Macclesfield at 16:03 ",decl,time-arrival,positive,punc,type,stop
38,39,A,decl,58.0,state,"
the cheapest fare for the dates and times specified is going to be your Super Advance Return at 30 pounds each ",decl,fare-date-enum,positive,punc,type,stop
38,40,B,decl,60.0,state,"
i've just been quoted 19 pounds ",report-decl,fare-enum,positive,punc,type,stop
38,41,A,decl,61.0,state,"
the 19 pounds Virgin Value fare ",decl,fare-enum-availability-time-day,negative,backchannel,content,yes
38,41,A,decl,61.0,state,"
the 19 pounds Virgin Value fare ",decl,fare-enum-availability-time-day,negative,punc,type,stop
