DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
36,45,A,decl,93.0,stateConstraint,"
you must stick to the date and time that you book ",constrain-decl,booking-time-date,positive,backchannel,content,right
36,45,A,decl,93.0,stateConstraint,"
you must stick to the date and time that you book ",constrain-decl,booking-time-date,positive,punc,type,stop
36,45,A,decl,95.0,stateConstraint,"
you must do so by 6 o'clock the day before your outward journey ",tag-constrain-decl,time-journey-enum-day,positive,backchannel,content,yeah
36,45,A,decl,95.0,stateConstraint,"
you must do so by 6 o'clock the day before your outward journey ",tag-constrain-decl,time-journey-enum-day,positive,punc,type,stop
37,31,A,decl,52.0,stateConstraint,"
you'd need to travel out an hour later on Saturday and come back on the 19:59 train in the evening on Monday ",constrain-decl,time-day-journey-enum,positive,punc,type,stop
38,51,A,decl,75.0,stateConstraint,"
what i'm going to have to do is arrange for you to collect your tickets from the train station ",intent-benefit-constrain-decl,journey,positive,backchannel,content,yes
38,51,A,decl,75.0,stateConstraint,"
what i'm going to have to do is arrange for you to collect your tickets from the train station ",intent-benefit-constrain-decl,journey,positive,punc,type,stop
38,107,A,decl,167.0,stateConstraint,"
you've got to stick to the dates and times that you've booked ",report-constrain-decl,booking-date,positive,punc,type,stop
38,107,A,decl,172.0,stateConstraint,"
you must do so by 2 o'clock the day before again ",constrain-decl,time-enum-day,positive,punc,type,stop
39,15,A,decl,36.0,stateConstraint,"
you have to change at Wigan Northwestern anyway ",constrain-decl,time-arrival,positive,backchannel,content,right
39,15,A,decl,36.0,stateConstraint,"
you have to change at Wigan Northwestern anyway ",constrain-decl,time-arrival,positive,punc,type,stop
39,63,A,decl,157.0,stateConstraint,"
",constrain-decl,booking-date,positive,pause,,
39,63,A,decl,157.0,stateConstraint,"
",constrain-decl,booking-date,positive,punc,type,stop
39,63,A,decl,159.0,stateConstraint,"
",constrain-decl,time-journey-enum-day-cancel,positive,pause,,
39,63,A,decl,159.0,stateConstraint,"
",constrain-decl,time-journey-enum-day-cancel,positive,punc,type,stop
39,65,A,decl,166.0,stateConstraint,"
you must do so by 2 o'clock the day before ",constrain-frag,time-enum-day,positive,punc,type,level
40,51,A,decl,75.0,stateConstraint,"
what i'm going to have to do is arrange for you to collect your tickets from the train station ",intent-benefit-constrain-decl,journey,positive,backchannel,content,yes
40,51,A,decl,75.0,stateConstraint,"
what i'm going to have to do is arrange for you to collect your tickets from the train station ",intent-benefit-constrain-decl,journey,positive,punc,type,stop
40,107,A,decl,167.0,stateConstraint,"
you've got to stick to the dates and times that you've booked ",report-constrain-decl,booking-date,positive,punc,type,stop
40,107,A,decl,172.0,stateConstraint,"
you must do so by 2 o'clock the day before again ",constrain-decl,time-enum-day,positive,punc,type,stop
43,25,A,decl,49.0,stateConstraint,"
you must travel out on the time specified ",constrain-decl,journey-time,positive,punc,type,stop
44,29,A,decl,74.0,stateConstraint,"
they've not actually got the appropriate ticket on their booking system ",constrain-decl,booking-journey,negative,punc,type,stop
45,35,A,decl,69.0,stateConstraint,"
you would need to get the 16:31 ",constrain-decl,,positive,punc,type,stop
