DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
38,33,A,decl,50.0,stateOpt,"
there's a train at 14 hundred from Euston ",exists-frag,location-time-from-enum,positive,punc,type,level
40,33,A,decl,50.0,stateOpt,"
there's a train at 14 hundred from Euston ",exists-frag,location-time-from-enum,positive,punc,type,level
41,19,A,decl,31.0,stateOpt,"
it'll either have to either be the 13:20 departing Preston or the 16:31 ",alternative-constrain-decl,location-enum-departure,positive,punc,type,stop
46,31,A,decl,66.0,stateOpt,"
",alternative-frag,availability-time-enum,positive,pause,,
46,31,A,decl,66.0,stateOpt,"
",alternative-frag,availability-time-enum,positive,pause,,
46,31,A,decl,66.0,stateOpt,"
",alternative-frag,availability-time-enum,positive,backchannel,content,mm
46,31,A,decl,66.0,stateOpt,"
",alternative-frag,availability-time-enum,positive,punc,type,level
47,85,A,decl,161.0,stateOpt,"
it's either a 13:00 departure ",alternative-frag,location-time-from-enum-departure,positive,pause,,
47,85,A,decl,161.0,stateOpt,"
it's either a 13:00 departure ",alternative-frag,location-time-from-enum-departure,positive,punc,type,level
47,85,A,decl,162.0,stateOpt,"
or it's 21:00 in the evening ",alternative-decl,time-enum,positive,punc,type,stop
47,109,A,decl,219.0,stateOpt,"
",alternative-frag,,positive,pause,length,3s
47,109,A,decl,219.0,stateOpt,"
",alternative-frag,,positive,punc,type,level
51,21,A,decl,34.0,stateOpt,"
",alternative-decl,time-enum,positive,pause,,
51,21,A,decl,34.0,stateOpt,"
",alternative-decl,time-enum,positive,punc,type,stop
54,27,A,decl,44.0,stateOpt,"
",exists-frag,,positive,pause,length,2s
54,27,A,decl,44.0,stateOpt,"
",exists-frag,,positive,punc,type,level
54,27,A,decl,45.0,stateOpt,"
or it's the 9:35 ",alternative-decl,,positive,punc,type,stop
57,19,A,decl,35.0,stateOpt,"
there's an afternoon train aval... available at 13:35 ",exists-decl,time-availability,positive,punc,type,stop
63,68,B,q-yn,155.0,stateOpt,"
can you do for 2 weeks ",query,enum,positive,punc,type,query
