DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
1,24,B,frag,36.0,thank,"
thank you
",,,,,,
1,87,A,frag,144.0,thank,"
thank you for calling
",,,,,,
3,117,A,frag,175.0,thank,"
thank you for calling now
",,,,,,
3,118,B,frag,177.0,thank,"
thanks a lot then
",,,,,,
4,22,B,frag,48.0,thank,"
cheers thanks
",,,,,,
5,47,A,frag,74.0,thank,"
thank you for calling 
",,,,,,
6,16,B,frag,20.0,thank,"
thank you
",,,,,,
6,91,A,frag,124.0,thank,"
thank you for calling now
",,,,,,
6,92,B,frag,125.0,thank,"
thank you
",,,,,,
7,12,B,frag,24.0,thank,"
thank you
",,,,,,
7,22,B,frag,37.0,thank,"
thank you
",,,,,,
7,81,A,frag,115.0,thank,"
thank you for calling
",,,,,,
7,82,B,frag,116.0,thank,"
thank you very much then
",,,,,,
8,86,B,frag,137.0,thank,"
thank you very much
",,,,,,
8,87,A,frag,138.0,thank,"
thank you for calling ",farewell,,,overlap,type,start
9,111,A,frag,181.0,thank,"
thank you for calling
",,,,,,
9,112,B,frag,182.0,thank,"
thanks for your help ",farewell,,,overlap,type,start
11,52,B,frag,97.0,thank,"
thank you
",closure,,,,,
11,97,A,frag,167.0,thank,"
thank you for calling
",,,,,,
12,86,B,frag,147.0,thank,"
thank you
",,,,,,
12,157,B,frag,271.0,thank,"
thank you
",,,,,,
12,159,B,frag,274.0,thank,"
thank you very much
",,,,,,
12,160,A,frag,275.0,thank,"
thank you for calling now
",,,,,,
12,161,B,frag,276.0,thank,"
cheers 
",farewell,,,,,
13,148,B,frag,212.0,thank,"
thank you very much
",,,,,,
13,149,A,frag,213.0,thank,"
thank you for calling
",,,,,,
13,150,B,frag,214.0,thank,"
thank you ",farewell,,,overlap,type,start
14,135,A,frag,215.0,thank,"
thank you for calling then
",,,,,,
14,136,B,frag,216.0,thank,"
thank you
",,,,,,
15,14,B,frag,35.0,thank,"
thanks
",,,,,,
15,42,B,frag,83.0,thank,"
thanks
",,,,,,
16,92,B,frag,156.0,thank,"
",,,,overlap,type,end
16,115,A,frag,185.0,thank,"
thank you for calling
",,,,,,
16,118,B,frag,190.0,thank,"
thank you
",,,,,,
17,48,B,frag,72.0,thank,"
thanks
",,,,,,
18,6,B,frag,15.0,thank,"
thank you
",,,,,,
18,32,B,frag,72.0,thank,"
thanks ",,,,event,type,tape_cuts_off
18,62,B,frag,141.0,thank,"
thank you
",,,,,,
18,114,B,frag,223.0,thank,"
thank you
",closure,,,,,
18,122,B,frag,235.0,thank,"
thank you very much
",,,,,,
18,123,A,frag,236.0,thank,"
thank you for calling
",,,,,,
19,87,A,frag,128.0,thank,"
thank you for calling
",,,,,,
19,88,B,frag,129.0,thank,"
thank you very much
",,,,,,
20,28,B,frag,53.0,thank,"
thanks very much ",farewell,,,overlap,type,start
21,88,B,frag,130.0,thank,"
thanks very much
",,,,,,
21,89,A,frag,131.0,thank,"
thank you for calling now ",farewell,,,overlap,type,start
22,14,B,frag,22.0,thank,"
thanks ",,,,overlap,type,end
22,60,B,frag,136.0,thank,"
",,,,overlap,type,start
23,102,B,frag,178.0,thank,"
thanks a lot
",,,,,,
24,56,B,frag,105.0,thank,"
",,,,overlap,type,end
24,93,A,frag,162.0,thank,"
thank you for calling ",,,,overlap,type,start
24,94,B,frag,164.0,thank,"
",,,,overlap,type,end
25,48,B,frag,81.0,thank,"
thankyou
",partial,,positive,,,
26,33,A,frag,64.0,thank,"
",intent,,,event,type,tape_cuts_off
27,26,B,frag,41.0,thank,"
thank you
",,,,,,
27,84,B,frag,142.0,thank,"
thank you
",,,,,,
