DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
37,37,A,address,63.0,refer,"
Sir
",,,,,,
38,115,A,address,190.0,refer,"
Sir
",,,,,,
39,111,A,address,228.0,refer,"
Sir
",,,,,,
40,115,A,address,189.0,refer,"
Sir
",,,,,,
41,89,A,address,130.0,refer,"
Mr ",decl,,positive,anonym,type,name
41,89,A,address,130.0,refer,"
Mr ",decl,,positive,backchannel,content,right
41,89,A,address,130.0,refer,"
Mr ",decl,,positive,punc,type,stop
43,13,A,address,20.0,refer,"
Sir
",,,,,,
43,51,A,address,107.0,refer,"
Sir
",,,,,,
43,85,A,address,167.0,refer,"
Mr ",decl,,positive,anonym,type,name
43,85,A,address,167.0,refer,"
Mr ",decl,,positive,punc,type,stop
47,157,A,address,300.0,refer,"
Mr ",decl,,positive,anonym,type,name
47,157,A,address,300.0,refer,"
Mr ",decl,,positive,punc,type,stop
48,143,A,address,226.0,refer,"
Mrs ",,,positive,anonym,type,name
54,19,A,address,30.0,refer,"
Sir ",,,,punc,type,stop
54,83,A,address,132.0,refer,"
",,,,overlap,type,start
54,83,A,address,132.0,refer,"
",,,,punc,type,stop
55,2,B,address,7.0,refer,"
Sandra ",decl,,positive,punc,type,stop
55,27,A,address,65.0,refer,"
Sir ",,,,punc,type,stop
56,87,A,address,142.0,refer,"
Miss ",,,,anonym,type,name
56,87,A,address,142.0,refer,"
Miss ",,,,punc,type,stop
58,99,A,address,203.0,refer,"
Mrs ",decl,,positive,anonym,type,name
58,99,A,address,203.0,refer,"
Mrs ",decl,,positive,punc,type,stop
59,37,A,address,80.0,refer,"
Sir ",,,,punc,type,stop
59,47,A,address,101.0,refer,"
Sir ",,,,punc,type,stop
59,91,A,address,197.0,refer,"
Mr ",decl,,positive,anonym,type,name
59,91,A,address,197.0,refer,"
Mr ",decl,,positive,punc,type,stop
62,123,A,address,215.0,refer,"
Mrs Nunn ",partial-decl,,positive,punc,type,stop
63,2,B,address,7.0,refer,"
Love ",,,,punc,type,stop
63,2,B,address,14.0,refer,"
Darling ",,,,punc,type,stop
63,14,B,address,38.0,refer,"
Love ",,,,punc,type,stop
63,30,B,address,67.0,refer,"
Darling ",,,,punc,type,stop
63,92,B,address,197.0,refer,"
Good Lady
",,,,,,
63,96,B,address,207.0,refer,"
Darling ",,,,punc,type,stop
63,98,B,address,212.0,refer,"
Love ",,,,punc,type,stop
63,100,B,address,216.0,refer,"
Love ",,,,punc,type,stop
63,145,A,address,280.0,refer,"
Sir ",,,,punc,type,stop
63,167,A,address,310.0,refer,"
Sir ",,,,punc,type,stop
63,219,A,address,379.0,refer,"
Sir ",,,,punc,type,stop
63,231,A,address,398.0,refer,"
Sir ",,,,punc,type,stop
65,29,A,address,55.0,refer,"
Sir ",,,,punc,type,stop
65,31,A,address,60.0,refer,"
",,,,overlap,type,start
65,31,A,address,60.0,refer,"
",,,,punc,type,stop
66,13,A,address,32.0,refer,"
Sir ",,,,punc,type,stop
69,57,A,address,158.0,refer,"
",,,,overlap,type,start
69,57,A,address,158.0,refer,"
",,,,punc,type,stop
70,110,B,address,207.0,refer,"
",decl,,positive,pause,length,15s
70,110,B,address,207.0,refer,"
",decl,,positive,punc,type,stop
70,175,A,address,312.0,refer,"
Miss ",,,,overlap,type,start
70,175,A,address,312.0,refer,"
Miss ",,,,anonym,type,name
70,175,A,address,312.0,refer,"
Miss ",,,,punc,type,stop
