DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
1,2,B,decl,4.0,direct,"
em it's from Birmingham to em London Euston please
",closure,to-location-from,positive,,,
1,12,B,decl,17.0,answ,"
the eighth of October
",closure,month-date,positive,,,
1,14,B,decl,19.0,answ,"
i'd like to leave on the 7 33 train
",intent-closure,departure-preference-time,positive,,,
1,17,A,decl,25.0,inform,"
there's the 7 33 from Birmingham New Street
",exists,location-enum-from,positive,,,
1,23,A,decl,33.0,informIntent-hold,"
i'm just going to check to see what's your cheapest fare available to you
",reportIntent,fare-avail-verify,positive,,,
1,23,A,decl,35.0,hold,"
if you can ",poss2-condition-manage,hold,positive,backchannel,content,yes
1,25,A,decl,37.0,confirm,"
and that's for the eighth of October
",,month-date,positive,,,
1,27,A,decl,41.0,inform,"
there's not any advance purchase tickets left ",exists,fare-journey,negative,pause,,
1,27,A,decl,42.0,inform,"
they've now been booked up
",,avail,positive,,,
1,29,A,decl,44.0,inform-disc,"
and the cheapest way to do it is going to is
",,fare,positive,,,
1,29,A,decl,45.0,inform,"
cos it's the normal price
",reason,,positive,,,
1,29,A,decl,47.0,inform,"
but you reduce that slightly ",constrain,fare,positive,pause,,
1,29,A,decl,48.0,inform,"
you'll be able to get the standard open single at 33 pounds on your outward service
",,fare,positive,,,
1,29,A,decl,50.0,inform,"
as long as you're prepared to stick to the date and time ",condition,time-date,positive,backchannel,content,yes
1,29,A,decl,51.0,inform,"
you can get the Virgin value single at 7 pounds ",poss2,fare,positive,backchannel,content,right
1,29,A,decl,53.0,inform,"
that's going to save you 21 pounds 50 there
",,fare,positive,,,
1,30,B,decl,54.0,appreciate,"
that's fine
",reassurance-appreciate,,positive,,,
1,31,A,decl,57.0,informIntent,"
i'll just gonna book ",intent,booking,positive,pause,,
1,31,A,decl,59.0,inform,"
we say it's a return journey
",,fare-journey,positive,,,
1,31,A,decl,60.0,inform,"
but it's classed as two ",constrain,number-fare,positive,overlap,type,start
1,32,B,decl,62.0,appreciate,"
",reassurance-appreciate,,positive,overlap,type,end
1,33,A,decl,66.0,confirm,"
you're travelling from Birmingham New Street at 7 33 ",,time-location-from-journey,positive,pause,,
1,39,A,decl,74.0,inform,"
that's booked for you
",benefit,booking,positive,,,
1,39,A,decl,76.0,confirm,"
i'm booking from Euston to Birmingham New Street
",reportIntent,to-location-from-booking,positive,,,
1,43,A,decl,81.0,confirm,"
",,fare,positive,pause,length,3s
1,45,A,decl,83.0,informIntent,"
i'm going to book you a forward facing seat again ",intent-report,seat-booking,positive,pause,length,2s
1,45,A,decl,86.0,inform,"
if you miss the service i've reserved you on
",condition,miss,positive,,,
1,45,A,decl,87.0,inform,"
you are able to get the next available train ",poss2,avail,positive,backchannel,content,right
1,45,A,decl,88.0,inform,"
and it's a full refund less 5 pounds
",,refund-fare,positive,,,
1,45,A,decl,89.0,inform,"
if you have to cancel ",condition-constrain,cancel,positive,backchannel,content,right
1,45,A,decl,91.0,inform,"
you must stick to the date and time that you book ",constrain,time-date-booking,positive,backchannel,content,right
1,45,A,decl,92.0,inform,"
if you wanted to change the time of that travel
",condition,preference-time-journey,positive,,,
