DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
1,5,A,dm,7.0,init,"
now
",,,,,,
1,7,A,dm,11.0,init,"
now ",,,,pause,,
1,17,A,dm,22.0,expressRegret,"
sorry
",regret,,,,,
1,23,A,dm,32.0,init,"
now
",,,,,,
1,23,A,dm,34.0,init,"
so
",,,,,,
1,27,A,dm,39.0,init,"
",,,,pause,length,20s
1,28,B,dm,43.0,ackn,"
right
",,,positive,,,
1,29,A,dm,52.0,init,"
so
",,,,,,
1,31,A,dm,56.0,init,"
so
",,,,,,
1,31,A,dm,58.0,init,"
so
",,,,,,
1,33,A,dm,64.0,init,"
now
",,,,,,
1,39,A,dm,73.0,accept,"
ok ",,,positive,pause,length,3s
1,39,A,dm,75.0,init,"
now
",,,,,,
1,40,B,dm,77.0,ackn,"
alright
",,,positive,,,
1,45,A,dm,84.0,init,"
now
",,,,,,
1,46,B,dm,95.0,ackn,"
right
",,,positive,,,
1,47,A,dm,96.0,init,"
now
",,,,,,
1,55,A,dm,105.0,ackn,"
",,,positive,pause,,
1,57,A,dm,107.0,ackn,"
",,,positive,pause,,
1,79,A,dm,133.0,init,"
",,,,pause,length,3s
1,80,B,dm,135.0,ackn,"
ok
",,,positive,,,
1,84,B,dm,139.0,ackn,"
right
",,,positive,,,
1,85,A,dm,142.0,init,"
ok now
",,,positive,,,
2,3,A,dm,5.0,init,"
",,,,pause,,
2,4,B,dm,7.0,ackn,"
aha
",,,positive,,,
2,15,A,dm,20.0,init,"
well
",,,,,,
2,25,A,dm,36.0,init,"
",,,,pause,length,8s
2,26,B,dm,39.0,ackn,"
ok
",,,positive,,,
2,27,A,dm,41.0,init,"
now
",,,,,,
2,28,B,dm,43.0,accept,"
sure ",,,positive,pause,length,9s
2,30,B,dm,46.0,ackn,"
right
",,,positive,,,
2,32,B,dm,48.0,ackn,"
right em
",,,positive,,,
2,37,A,dm,56.0,init,"
ok then sir
",,,positive,,,
3,3,A,dm,5.0,init,"
now
",,,,,,
3,19,A,dm,22.0,init,"
",,,,pause,length,4s
3,21,A,dm,25.0,init,"
so
",,,,,,
3,31,A,dm,37.0,init,"
",,,,pause,length,9s
3,32,B,dm,39.0,ackn,"
right ",,,positive,pause,,
3,33,A,dm,41.0,init,"
now
",,,,,,
3,37,A,dm,46.0,init,"
",,,,pause,length,3s
3,39,A,dm,49.0,init,"
",,,,pause,length,14s
3,44,B,dm,56.0,ackn,"
right ok then
",,,positive,,,
3,45,A,dm,57.0,init,"
",,,,pause,,
3,51,A,dm,65.0,init,"
",,,,pause,,
3,53,A,dm,70.0,init,"
now
",,,,,,
3,59,A,dm,77.0,init,"
",,,,pause,length,6s
3,61,A,dm,80.0,ackn,"
aha
",,,positive,,,
3,69,A,dm,92.0,ackn,"
",,,positive,pause,,
3,73,A,dm,98.0,init,"
now
",,,,,,
3,93,A,dm,120.0,init,"
now
",,,,,,
3,97,A,dm,126.0,init,"
",,,,pause,length,9s
3,98,B,dm,130.0,ackn,"
right ok
",,,positive,,,
3,99,A,dm,132.0,init,"
now
",,,,,,
3,106,B,dm,147.0,ackn,"
right
",,,positive,,,
3,107,A,dm,149.0,init,"
now
",,,,,,
3,107,A,dm,157.0,init,"
now
",,,,,,
3,109,A,dm,160.0,init,"
now
",,,,,,
3,115,A,dm,168.0,init,"
so
",,,,,,
3,115,A,dm,172.0,init,"
ok sir
",,,,,,
3,117,A,dm,174.0,init,"
so
",,,,,,
3,118,B,dm,176.0,ackn,"
ok
",,,positive,,,
4,6,B,dm,10.0,init,"
well ",,,,pause,,
4,7,A,dm,12.0,init,"
now
",,,,,,
4,11,A,dm,18.0,init,"
so
",,,,,,
4,14,B,dm,24.0,init,"
erm well
",,,,,,
4,14,B,dm,29.0,init,"
so
",,,,,,
4,15,A,dm,31.0,init,"
",,,,pause,,
4,16,B,dm,35.0,ackn,"
oh right
",,,positive,,,
4,16,B,dm,36.0,init,"
so
",,,,,,
4,18,B,dm,39.0,ackn,"
alright
",,,positive,,,
4,18,B,dm,40.0,init,"
so
",,,,,,
4,26,B,dm,58.0,ackn,"
",,,positive,pause,,
4,26,B,dm,58.0,ackn,"
",,,positive,pause,,
4,28,B,dm,63.0,ackn,"
",,,positive,pause,,
4,28,B,dm,63.0,ackn,"
",,,positive,pause,,
4,36,B,dm,77.0,ackn,"
right
",,,positive,,,
4,37,A,dm,79.0,ackn,"
aha
",,,positive,,,
4,40,B,dm,82.0,init,"
right em
",,,positive,,,
4,41,A,dm,85.0,ackn,"
",,,positive,pause,,
4,44,B,dm,92.0,ackn,"
right
",,,positive,,,
4,44,B,dm,93.0,init,"
so
",,,,,,
4,46,B,dm,97.0,init,"
ok
",,,positive,,,
4,47,A,dm,102.0,init,"
",,,,pause,length,9s
4,47,A,dm,107.0,init,"
now
",,,,,,
4,50,B,dm,112.0,ackn,"
right ",,,positive,pause,,
4,50,B,dm,117.0,init,"
so
",,,,,,
4,56,B,dm,126.0,init,"
so
",,,,,,
4,60,B,dm,135.0,ackn,"
ok
",,,positive,,,
4,61,A,dm,138.0,init,"
now ",,,,overlap,type,end
4,65,A,dm,145.0,init,"
now
",,,,,,
4,68,B,dm,157.0,ackn,"
right ok
",,,positive,,,
4,69,A,dm,158.0,init,"
now
",,,,,,
4,75,A,dm,165.0,ackn,"
aha
",,,positive,,,
4,77,A,dm,167.0,ackn,"
aha
",,,positive,,,
4,81,A,dm,171.0,ackn,"
aha
",,,positive,,,
4,85,A,dm,175.0,init,"
now
",,,,,,
4,86,B,dm,177.0,ackn,"
ok
",,,positive,,,
4,99,A,dm,191.0,init,"
now
",,,,,,
4,99,A,dm,193.0,init,"
now
",,,,,,
4,106,B,dm,202.0,ackn,"
right
",,,positive,,,
4,108,B,dm,204.0,ackn,"
ok ",,,positive,overlap,type,end
4,111,A,dm,208.0,ackn,"
aha
",,,positive,,,
4,113,A,dm,211.0,init,"
ok now sir
",,,positive,,,
