DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
1,1,A,frag,1.0,greet,"
good afternoon
",deixis-greet,opening,positive,,,
1,1,A,frag,2.0,identifySelf,"
Virgin trainline Sandra speaking
",deixis,intro,positive,,,
1,6,B,frag,10.0,answElab,"
a debit card
",closure,creditcard,positive,,,
1,10,B,frag,15.0,answ,"
one
",partial-closure,number,positive,,,
1,13,A,frag,18.0,reqInfo,"
",open,time-departure,positive,pause,,
1,15,A,frag,20.0,confirm,"
from Birmingham International
",deixis,location-from,positive,,,
1,16,B,frag,21.0,correct,"
New Street
",deixis,,positive,,,
1,17,A,frag,23.0,correctSelf,"
Birmingham New Street
",deixis,location,positive,,,
1,17,A,frag,26.0,inform,"
arriving at 9 05 in Euston
",deixis,location-time-arrival,positive,,,
1,20,B,frag,29.0,answ,"
em same day on the em 17 15
",deixis-closure,day-enum,positive,,,
1,21,A,frag,30.0,confirm,"
",deixis,time-arrival,positive,pause,length,7s
1,21,A,frag,30.0,confirm,"
",deixis,time-arrival,positive,pause,,
1,24,B,frag,36.0,thank,"
thank you
",,,,,,
1,27,A,frag,40.0,inform,"
because of the time that you're travelling out ",reason,time-location-journey,positive,pause,,
1,29,A,frag,46.0,inform-cont,"
is gonna be standard open return at 61 pounds 50 ",,fare,positive,backchannel,content,right
1,29,A,frag,49.0,refer,"
then on the return
",deixis,fare,positive,,,
1,33,A,frag,65.0,confirm,"
on the eighth October
",deixis,month,positive,,,
1,33,A,frag,67.0,confirm,"
arriving in Euston at 9 05
",deixis,location-time-arrival,positive,,,
1,36,B,frag,70.0,direct,"
non smoking ",closure,seat,positive,overlap,type,start
1,38,B,frag,72.0,direct,"
erm ",condition-closure,seat,positive,pause,,
1,41,A,frag,78.0,confirm,"
on the 8th again ",deixis,,positive,pause,length,2s
1,41,A,frag,79.0,confirm,"
departing 17 15
",deixis,departure-time,positive,,,
1,45,A,frag,85.0,refer,"
with the standard open single
",deixis,fare,positive,,,
1,45,A,frag,90.0,refer,"
but with the Virgin value fare
",deixis-constrain,fare,positive,,,
1,47,A,frag,97.0,reqInfo,"
your surname please
",open,name,positive,,,
1,48,B,frag,98.0,answ,"
{surname}%5%18%16%5%23%18%0 {letter}%5 {letter}%18 {letter}%16 {letter}%5 {letter}%23 {letter}%18 {letter}%0
",closure,spell-name,positive,,,
1,49,A,frag,99.0,reqInfo,"
",open,name,positive,pause,,
1,50,B,frag,100.0,answ,"
{letter}%11
",partial-closure,spell,positive,,,
1,51,A,frag,101.0,reqInfo,"
and your title
",open,name,positive,,,
1,52,B,frag,102.0,answ,"
Doctor
",partial-closure,,positive,,,
1,53,A,frag,103.0,reqInfo,"
and your contact telephone number
",open,telephone-number,positive,,,
1,54,B,frag,104.0,answ,"
em 0 1 1 1
",closure,enum,positive,,,
1,56,B,frag,106.0,answElab,"
1 0 5
",,enum,positive,,,
1,58,B,frag,108.0,answElab,"
1 2 1 8
",,enum,positive,,,
1,59,A,frag,109.0,reqInfo,"
",open,creditcard-address,positive,pause,length,2s
1,60,B,frag,110.0,answ,"
{letter}%11 36 ",closure,enum-spell,positive,pause,,
1,63,A,frag,114.0,echo,"
11 ",partial,enum,positive,pause,,
1,64,B,frag,117.0,answ,"
number 1 3 5
",deixis,enum-number,positive,,,
