DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
1,3,A,q-yn,5.0,reqInfo,"
is that Birmingham New Street
",closed,location,positive,,,
1,5,A,q-yn,8.0,reqInfo,"
do you hold a current debit or credit card
",closed-alternative,creditcard,positive,,,
1,7,A,q-yn,12.0,reqInfo,"
do you have a rail card
",closed,railcard,positive,,,
1,35,A,q-yn,69.0,reqDirect,"
would you like smoking or non smoking
",closed-alternative,preference-seat,positive,,,
1,37,A,q-yn,71.0,reqDirect,"
and ",closed,preference-booking-seat,positive,overlap,type,end
2,3,A,q-yn,6.0,reqInfo,"
do you hold a current debit or credit card
",closed,creditcard,positive,,,
2,5,A,q-yn,8.0,reqInfo,"
do you have a railcard at all
",closed,railcard,positive,,,
2,14,B,q-yn,19.0,reqInfo,"
do you know
",closed,,positive,,,
2,34,B,q-yn,53.0,reqModal,"
do you mind if i cancel
",closed,,positive,,,
3,3,A,q-yn,6.0,reqInfo,"
do you hold a current credit or debit card
",closed,creditcard,positive,,,
3,5,A,q-yn,8.0,reqInfo,"
do you have a rail card at all
",closed,railcard,positive,,,
3,9,A,q-yn,12.0,reqInfo,"
is that two adults
",closed,number,positive,,,
3,32,B,q-yn,40.0,direct,"
er could i er ",closed,time,positive,pause,,
3,45,A,q-yn,58.0,reqDirect,"
do you want me to book this ticket
",closed,preference-booking-journey,positive,,,
3,47,A,q-yn,60.0,reqDirect,"
",closed,preference-fare,positive,pause,,
3,93,A,q-yn,122.0,reqDirect,"
would you like smoking or non smoking
",closed-alternative,preference-seat,positive,,,
3,95,A,q-yn,124.0,reqDirect,"
do you have any seat preference
",closed,preference-booking-seat,positive,,,
4,6,B,q-yn,11.0,reqInfo,"
em is there a train from Liverpool
",closed-exists,location-from,positive,,,
4,7,A,q-yn,13.0,reqInfo,"
do you hold a current credit or debit card
",closed,creditcard,positive,,,
4,9,A,q-yn,15.0,reqInfo,"
and is it just for one person
",closed,number,positive,,,
4,11,A,q-yn,20.0,reqInfo,"
do you have a railcard at all
",closed,railcard,positive,,,
4,18,B,q-yn,43.0,reqInfo,"
can you tell me
",closed,,positive,,,
4,28,B,q-yn,65.0,reqInfo,"
is there any going from ",closed-exists,,positive,pause,,
4,28,B,q-yn,65.0,reqInfo,"
is there any going from ",closed-exists,,positive,pause,,
4,40,B,q-yn,83.0,reqInfo,"
can i be a pain and ask you about Thursday night
",closed,day,positive,,,
4,46,B,q-yn,101.0,reqInfo,"
is that a supersaver advance yes
",closed,fare,positive,,,
4,47,A,q-yn,108.0,reqInfo,"
is it you're returning
",abandon-closed,return,positive,,,
4,55,A,q-yn,125.0,reqDirect,"
would you like me to book that for you
",closed-benefit,preference-booking,positive,,,
4,61,A,q-yn,139.0,reqInfo,"
is it smoking or non smoking
",closed-alternative,seat,positive,,,
4,99,A,q-yn,194.0,reqInfo,"
do you have a pen handy
",closed,,positive,,,
4,108,B,q-yn,205.0,reqModal,"
can i just repeat the reference please
",closed,booking,positive,,,
5,3,A,q-yn,6.0,reqInfo,"
do you hold a current debit or credit card
",closed,creditcard,positive,,,
5,7,A,q-yn,11.0,reqInfo,"
do you have a current rail card
",closed,railcard,positive,,,
5,26,B,q-yn,38.0,hold,"
erm can you hold the line a second
",closed-manage,hold,positive,,,
5,28,B,q-yn,42.0,reqModal,"
can i book a ticket on that one the 16 05
",closed,enum-number-booking-journey,positive,,,
5,30,B,q-yn,44.0,unclassifiable,"
erm can i don't have to book a time on the Sunday
",closed-constrain,time-day-booking,negative,,,
5,32,B,q-yn,47.0,hold,"
erm can you hold a second again
",closed,,positive,,,
6,3,A,q-yn,6.0,reqInfo,"
do you hold a current credit or debit or credit card
",closed,creditcard,positive,,,
6,5,A,q-yn,8.0,reqInfo,"
and do you have a railcard at all
",closed,railcard,positive,,,
6,27,A,q-yn,41.0,reqDirect,"
would you like smoking or non smoking
",closed-alternative,preference-seat,positive,,,
6,29,A,q-yn,43.0,reqDirect,"
do you have any seat preference
",closed,preference-booking-seat,positive,,,
6,54,B,q-yn,77.0,reqInfo,"
or do you need a credit card
",closed-constrain-alternative-report,creditcard-time,positive,,,
6,69,A,q-yn,95.0,reqInfo,"
can you repeat that long number across your card
",closed,number,positive,,,
7,3,A,q-yn,6.0,reqInfo,"
do you hold a current debit or credit card
",closed,creditcard,positive,,,
7,5,A,q-yn,9.0,reqInfo,"
and do you have a railcard at all
",closed,railcard,positive,,,
7,19,A,q-yn,33.0,reqDirect,"
do you want to book the return or leave this return journey open
",closed-alternative,fare-departure-preference-booking-journey,positive,,,
7,20,B,q-yn,34.0,reqModal,"
can i leave it open please
",closed,departure-fare,positive,,,
7,28,B,q-yn,46.0,reqInfo,"
is that got the the tea and coffee as well
",closed,,positive,,,
7,40,B,q-yn,63.0,reqInfo,"
have they had a price increase
",closed,,positive,,,
8,3,A,q-yn,6.0,reqInfo,"
is it yourself as is a credit and debit card holder
",closed,creditcard,positive,,,
8,5,A,q-yn,8.0,reqInfo,"
do you hold a current debit or credit card
",closed,creditcard,positive,,,
8,7,A,q-yn,10.0,reqInfo,"
",closed,railcard,positive,pause,length,7s
8,14,B,q-yn,23.0,reqInfo,"
is there ",,time,positive,pause,,
8,21,A,q-yn,34.0,reqInfo,"
and is it standard class
",closed,,positive,,,
8,27,A,q-yn,46.0,reqDirect,"
and ",closed-alternative,preference-seat,positive,pause,,
8,29,A,q-yn,48.0,reqDirect,"
",closed-exists,preference-booking-seat,positive,pause,length,4s
8,42,B,q-yn,73.0,reqInfo,"
do you take accept American Express
",closed,,positive,,,
8,49,A,q-yn,83.0,reqInfo,"
or do you have the full address
",closed-alternative,address,positive,,,
8,69,A,q-yn,113.0,reqInfo,"
and could you give me the long number across your credit card
",closed,number-creditcard,positive,,,
9,3,A,q-yn,7.0,reqInfo,"
do you hold a current debit or credit card
",closed,creditcard,positive,,,
9,5,A,q-yn,11.0,reqInfo,"
is it just for one
",closed,number,positive,,,
9,7,A,q-yn,14.0,reqInfo,"
do you have a railcard
",closed,railcard,positive,,,
9,17,A,q-yn,34.0,reqInfo,"
have you been quoted a fare for the journey
",closed,fare-journey,positive,,,
9,52,B,q-yn,94.0,direct,"
mhm ",closed,seat,positive,pause,,
9,75,A,q-yn,128.0,reqInfo,"
could you give me your contact telephone number
",closed,telephone-number,positive,,,
10,3,A,q-yn,6.0,reqInfo,"
do you hold a current debit or credit card
",closed,creditcard,positive,,,
10,5,A,q-yn,8.0,reqInfo,"
and do you have a railcard at all
",closed,railcard,positive,,,
11,3,A,q-yn,7.0,reqInfo,"
do you want to book your ticket just now or are you just wanting information
",closed-alternative,preference-booking-journey,positive,,,
11,5,A,q-yn,11.0,reqInfo,"
is it just for one
",closed,number,positive,,,
11,7,A,q-yn,14.0,reqInfo,"
do you hold a current credit or debit card
",closed,creditcard,positive,,,
11,9,A,q-yn,16.0,reqInfo,"
and do you have a railcard at all
",closed,railcard,positive,,,
11,18,B,q-yn,30.0,reqInfo,"
erm ",closed-exists,,negative,pause,,
11,23,A,q-yn,42.0,reqInfo,"
or is that going to be too early
",closed-alternative,time,positive,,,
11,50,B,q-yn,93.0,reqInfo,"
can we just confirm the times i'm leaving
",closed-report,departure-confirm,positive,,,
11,52,B,q-yn,96.0,reqInfo,"
is that correct ok
",closed,,positive,,,
11,61,A,q-yn,109.0,reqDirect,"
would you like smoking or non smoking
",closed-alternative,preference-seat,positive,,,
11,63,A,q-yn,111.0,reqInfo,"
and do you have any seat preference
",closed,preference-booking-seat,positive,,,
12,5,A,q-yn,8.0,reqInfo,"
do you hold a current debit or credit card
",closed-alternative,creditcard,positive,,,
12,15,A,q-yn,25.0,reqInfo,"
do you have a railcard
",closed,railcard,positive,,,
12,22,B,q-yn,36.0,reqInfo,"
is that super ",closed,fare,positive,pause,,
12,29,A,q-yn,45.0,reqDirect,"
is it smoking or non smoking
",closed-alternative,seat,positive,,,
12,31,A,q-yn,47.0,reqDirect,"
and is there any seat prefrence
",closed-exists,,positive,,,
12,44,B,q-yn,63.0,reqInfo,"
erm is there any faster one just ",closed-exists,number,positive,pause,,
12,44,B,q-yn,64.0,reqModal,"
can we leave it open for returning just as long as it's not on the Friday
",closed-condition,return-departure-day-fare,negative,,,
12,46,B,q-yn,69.0,reqModal,"
can i ",abandon-closed,,positive,pause,,
12,46,B,q-yn,69.0,reqModal,"
can i ",abandon-closed,,positive,pause,length,4s
12,58,B,q-yn,90.0,reqInfo,"
can you can you return at 18 hundred or ",closed-poss2-alternative,time-fare,positive,overlap,type,start
12,64,B,q-yn,98.0,reqInfo,"
is that better
",closed,,positive,,,
12,64,B,q-yn,99.0,reqInfo,"
is that easier
",closed,,positive,,,
12,72,B,q-yn,114.0,direct,"
can i can i change the the start to ",closed-poss1,to-location-from,positive,pause,,
12,72,B,q-yn,114.0,direct,"
can i can i change the the start to ",closed-poss1,to-location-from,positive,pause,,
12,72,B,q-yn,114.0,direct,"
can i can i change the the start to ",closed-poss1,to-location-from,positive,pause,,
12,72,B,q-yn,114.0,direct,"
can i can i change the the start to ",closed-poss1,to-location-from,positive,pause,length,7s
12,78,B,q-yn,127.0,direct,"
can i get originally from Wilmslow in that case ",closed,from,positive,pause,,
12,78,B,q-yn,128.0,direct,"
can i catch the Wilmslow to ",closed,to-location,positive,pause,,
12,81,A,q-yn,134.0,answ,"
cos the last direct direct service ",closed-reason,enum-from,positive,pause,,
12,96,B,q-yn,170.0,reqInfo,"
complete are you going to let me do it
",closed,,positive,,,
12,100,B,q-yn,186.0,direct,"
can you change the outward journey
",closed,journey,positive,,,
12,110,B,q-yn,199.0,reqInfo,"
erm is there a one is there a train before the 20 13
",closed-exists,enum-number,positive,,,
