DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
1,4,B,yes,6.0,answ,"
yeah
",closure,,,,,
1,6,B,yes,9.0,answ,"
er yeah
",,,,,,
1,17,A,yes,24.0,ackn,"
yeah ",,,,pause,length,10s
1,18,B,yes,27.0,ackn,"
yeah
",,,,,,
1,22,B,yes,31.0,ackn,"
yeah ",,,,pause,,
1,26,B,yes,38.0,ackn,"
yeah
",,,,,,
1,30,B,yes,55.0,ackn,"
yeah ",,,,pause,,
1,32,B,yes,61.0,ackn,"
yeah
",,,,,,
1,32,B,yes,63.0,ackn,"
yeah
",,,,,,
1,34,B,yes,68.0,ackn,"
yeah
",,,,,,
1,42,B,yes,80.0,ackn,"
yep
",,,,,,
1,44,B,yes,82.0,ackn,"
yep
",,,,,,
1,82,B,yes,137.0,ackn,"
yeah
",,,,,,
2,18,B,yes,26.0,ackn,"
yeah
",,,,,,
2,23,A,yes,33.0,ackn,"
yeah
",,,,,,
3,4,B,yes,7.0,answ,"
yes
",closure,,,,,
3,10,B,yes,13.0,answ,"
yes
",closure,,,,,
3,14,B,yes,17.0,ackn,"
yes
",,,,,,
3,20,B,yes,24.0,ackn,"
yes
",,,,,,
3,22,B,yes,27.0,ackn,"
yes
",,,,,,
3,26,B,yes,31.0,ackn,"
yes
",,,,,,
3,28,B,yes,33.0,ackn,"
yes
",,,,,,
3,30,B,yes,36.0,ackn,"
yes
",,,,,,
3,34,B,yes,43.0,ackn,"
yes
",,,,,,
3,36,B,yes,45.0,ackn,"
",,,,pause,,
3,38,B,yes,48.0,ackn,"
yeah
",,,,,,
3,43,A,yes,55.0,ackn,"
yeah
",,,,,,
3,46,B,yes,59.0,direct,"
yeah
",closure,,,,,
3,50,B,yes,64.0,ackn,"
yes
",,,,,,
3,52,B,yes,69.0,ackn,"
yes
",,,,,,
3,64,B,yes,83.0,ackn,"
yeah
",,,,,,
3,64,B,yes,85.0,ackn,"
yeah
",,,,,,
3,72,B,yes,95.0,ackn,"
yeah
",,,,,,
3,100,B,yes,137.0,ackn,"
yes
",,,,,,
3,102,B,yes,140.0,ackn,"
yes
",,,,,,
3,104,B,yes,142.0,ackn,"
yeah
",,,,,,
3,106,B,yes,148.0,ackn,"
yes
",,,,,,
3,108,B,yes,159.0,ackn,"
yes
",,,,,,
3,114,B,yes,167.0,ackn,"
yes
",,,,,,
3,116,B,yes,173.0,ackn,"
yes
",,,,,,
4,8,B,yes,14.0,answ,"
yes
",closure,,,,,
4,10,B,yes,17.0,answElab,"
yes
",,,,,,
4,17,A,yes,38.0,ackn,"
yeah
",,,,,,
4,20,B,yes,45.0,answ,"
yeah
",,,,,,
4,25,A,yes,53.0,ackn,"
yeah
",,,,,,
4,30,B,yes,69.0,ackn,"
yeah ",,,,pause,,
4,33,A,yes,73.0,ackn,"
yes
",,,,,,
4,35,A,yes,76.0,ackn,"
yeah
",,,,,,
4,45,A,yes,95.0,ackn,"
",,,,pause,,
4,47,A,yes,104.0,answ,"
yeah
",,,,,,
4,49,A,yes,111.0,answ,"
yeah
",,,,,,
4,52,B,yes,121.0,ackn,"
yeah
",,,,,,
4,54,B,yes,123.0,ackn,"
yeah
",,,,,,
4,57,A,yes,129.0,ackn,"
yeah
",,,,,,
4,58,B,yes,130.0,ackn,"
yeah
",,,,,,
4,60,B,yes,136.0,ackn,"
yeah
",,,,,,
4,62,B,yes,140.0,answ,"
erm ",closure,,,pause,length,5s
4,62,B,yes,142.0,answElab,"
yeah
",,,,,,
4,66,B,yes,151.0,ackn,"
yeah
",,,,,,
4,102,B,yes,198.0,ackn,"
yeah
",,,,,,
4,104,B,yes,200.0,ackn,"
yeah
",,,,,,
4,109,A,yes,206.0,answ,"
yes
",closure,,,,,
5,4,B,yes,8.0,answElab,"
yeah
",,,,,,
5,20,B,yes,25.0,ackn,"
yes
",,,,,,
5,27,A,yes,39.0,accept,"
yeah sure ",,,,event,content,tape_cuts_off
5,28,B,yes,41.0,ackn,"
yeah
",,,,,,
5,31,A,yes,45.0,answ,"
yes
",,,,,,
5,33,A,yes,48.0,accept,"
yeah ",,,,event,content,tape_cuts_off
5,39,A,yes,61.0,ackn,"
yeah
",,,,,,
5,43,A,yes,70.0,ackn,"
yeah
",,,,,,
6,4,B,yes,7.0,answ,"
yes
",closure,,,,,
6,23,A,yes,32.0,answ,"
yes
",,,,,,
6,82,B,yes,113.0,ackn,"
yep
",,,,,,
6,84,B,yes,115.0,ackn,"
yep
",,,,,,
6,86,B,yes,117.0,ackn,"
yep
",,,,,,
7,4,B,yes,7.0,answ,"
yeah
",,,,,,
7,21,A,yes,35.0,accept,"
yes
",,,,,,
7,29,A,yes,47.0,answ,"
yes
",closure,,,,,
7,74,B,yes,105.0,ackn,"
yes
",,,,,,
7,76,B,yes,107.0,ackn,"
yes
",,,,,,
8,6,B,yes,9.0,answ,"
yes
",closure,,,,,
8,16,B,yes,26.0,ackn,"
er yes
",,,,,,
8,20,B,yes,33.0,ackn,"
yes please
",,,,,,
8,22,B,yes,35.0,answ,"
yes
",closure,,,,,
8,24,B,yes,40.0,ackn,"
yes
",,,,,,
8,26,B,yes,45.0,ackn,"
yes
",,,,,,
8,34,B,yes,58.0,ackn,"
yes
",,,,,,
8,43,A,yes,74.0,answ,"
yes
",closure,,,,,
8,47,A,yes,81.0,answ,"
yes
",,,,,,
8,51,A,yes,86.0,accept,"
yes
",,,,,,
8,70,B,yes,114.0,ackn,"
yeah
",,,,,,
8,82,B,yes,132.0,ackn,"
yes
",,,,,,
9,12,B,yes,22.0,accept,"
yeah
",,,,,,
9,22,B,yes,43.0,ackn,"
yeah
",,,,,,
9,25,A,yes,48.0,ackn,"
yes
",,,,,,
9,26,B,yes,49.0,ackn,"
yeah yeah
",,,,,,
9,50,B,yes,91.0,ackn,"
yeah
",,,,,,
9,58,B,yes,102.0,ackn,"
yeah
",,,,,,
9,60,B,yes,104.0,ackn,"
yep
",,,,,,
9,64,B,yes,110.0,ackn,"
yeah
",,,,,,
9,76,B,yes,129.0,answ,"
er yep
",,,,,,
9,94,B,yes,153.0,ackn,"
yep
",,,,,,
9,97,A,yes,159.0,answ,"
yes
",,,,,,
10,20,B,yes,30.0,ackn,"
yeah
",,,,,,
10,22,B,yes,33.0,ackn,"
yes
",,,,,,
10,26,B,yes,37.0,ackn,"
yes
",,,,,,
10,28,B,yes,39.0,ackn,"
yes
",,,,,,
11,6,B,yes,12.0,answ,"
yes
",closure,,,,,
11,8,B,yes,15.0,answ,"
yes
",closure,,,,,
11,12,B,yes,21.0,answ,"
yes
",,,,,,
11,16,B,yes,27.0,ackn,"
yeah
",,,,,,
11,26,B,yes,47.0,ackn,"
yeah
",,,,,,
11,30,B,yes,51.0,ackn,"
yeah
",,,,,,
11,40,B,yes,74.0,ackn,"
yeah
",,,,,,
11,42,B,yes,76.0,ackn,"
yeah
",,,,,,
11,44,B,yes,79.0,ackn,"
yeah
",,,,,,
11,66,B,yes,118.0,ackn,"
",,,,pause,,
11,86,B,yes,155.0,ackn,"
yeah
",,,,,,
12,4,B,yes,6.0,accept,"
yes please
",,,,,,
12,6,B,yes,9.0,answ,"
yes
",closure,,,,,
12,16,B,yes,26.0,answ,"
yeah
",closure,,,,,
12,18,B,yes,28.0,answ,"
yes
",,,,,,
12,23,A,yes,37.0,answ,"
",closure,,,overlap,type,start
12,28,B,yes,43.0,direct,"
yes please
",,,,,,
12,38,B,yes,56.0,ackn,"
yep
",,,,,,
12,40,B,yes,58.0,ackn,"
yep
",,,,,,
12,43,A,yes,62.0,answ,"
yes
",,,,,,
12,47,A,yes,70.0,answ,"
yeah
",,,,,,
12,52,B,yes,79.0,ackn,"
yeah ",,,,pause,,
12,58,B,yes,88.0,direct,"
yeah ",,,,pause,length,4s
12,62,B,yes,94.0,ackn,"
yeah ",,,,pause,length,4s
12,67,A,yes,105.0,ackn,"
yes
",,,,,,
12,74,B,yes,118.0,ackn,"
yeah
",,,,,,
12,78,B,yes,126.0,ackn,"
yeah ",,,,pause,,
12,83,A,yes,136.0,ackn,"
yeah ",,,,pause,,
12,97,A,yes,172.0,ackn,"
yeah
",,,,,,
12,100,B,yes,183.0,ackn,"
yeah
",,,,,,
12,106,B,yes,194.0,ackn,"
yeah
",,,,,,
12,109,A,yes,198.0,ackn,"
yes
",,,,,,
12,122,B,yes,222.0,ackn,"
yep
",,,,,,
12,124,B,yes,228.0,ackn,"
yeah
",,,,,,
12,136,B,yes,243.0,ackn,"
yeah
",,,,,,
12,154,B,yes,267.0,ackn,"
yep
",,,,,,
12,156,B,yes,269.0,ackn,"
yep
",,,,,,
13,4,B,yes,6.0,ackn,"
yes
",,,,,,
13,6,B,yes,9.0,answ,"
yes
",closure,,,,,
13,10,B,yes,13.0,answ,"
yes
",closure,,,,,
13,18,B,yes,25.0,direct,"
yes
",closure,,,,,
13,26,B,yes,39.0,ackn,"
yes
",,,,,,
13,37,A,yes,59.0,answ,"
yes
",,,,,,
13,49,A,yes,73.0,answ,"
yeah
",,,,,,
13,55,A,yes,82.0,ackn,"
yes
",,,,,,
13,62,B,yes,92.0,ackn,"
yes
",,,,,,
13,78,B,yes,115.0,ackn,"
yes please
",,,,,,
13,81,A,yes,122.0,ackn,"
yes
",,,,,,
13,87,A,yes,131.0,ackn,"
yes
",,,,,,
13,132,B,yes,192.0,answ,"
yes
",closure,,,,,
14,10,B,yes,14.0,answ,"
yes
",closure,,,,,
14,27,A,yes,46.0,accept,"
yes
",,,,,,
14,28,B,yes,47.0,ackn,"
yeah
",,,,,,
14,33,A,yes,56.0,answ,"
yes
",closure,,,,,
14,44,B,yes,74.0,direct,"
yes please
",closure,,,,,
14,62,B,yes,108.0,accept,"
yep
",,,,,,
14,89,A,yes,145.0,ackn,"
yeah
",,,,,,
14,102,B,yes,169.0,ackn,"
yeah
",,,,,,
14,108,B,yes,175.0,ackn,"
yeah
",,,,,,
14,116,B,yes,185.0,answ,"
yes
",,,,,,
14,128,B,yes,203.0,ackn,"
yes
",,,,,,
14,130,B,yes,206.0,ackn,"
",,,,overlap,type,start
15,6,B,yes,9.0,answ,"
yes
",,,,,,
15,8,B,yes,14.0,answ,"
yes
",,,,,,
15,12,B,yes,27.0,answ,"
er yes ",closure,,,pause,,
15,22,B,yes,45.0,ackn,"
",,,,pause,,
15,26,B,yes,50.0,ackn,"
yeah
",,,,,,
15,30,B,yes,57.0,ackn,"
yeah
",,,,,,
15,31,A,yes,60.0,answ,"
",,,,pause,,
15,32,B,yes,64.0,ackn,"
yeah ",,,,overlap,type,end
15,36,B,yes,69.0,ackn,"
yes
",,,,,,
15,41,A,yes,74.0,ackn,"
yeah ",,,,pause,length,7s
15,52,B,yes,95.0,ackn,"
yeah
",,,,,,
15,59,A,yes,107.0,ackn,"
yeah ",,,,pause,length,10s
15,67,A,yes,117.0,ackn,"
yeah ",,,,pause,length,18s
15,70,B,yes,123.0,answ,"
yes
",,,,,,
15,77,A,yes,140.0,ackn,"
yeah
",,,,,,
16,14,B,yes,21.0,answ,"
yeah
",closure,,,,,
16,18,B,yes,26.0,ackn,"
yeah
",,,,,,
16,24,B,yes,37.0,ackn,"
yeah
",,,,,,
16,32,B,yes,60.0,ackn,"
yes ",,,,pause,,
16,33,A,yes,62.0,answ,"
",,,,pause,,
16,38,B,yes,69.0,direct,"
yes please
",closure,,,,,
16,44,B,yes,89.0,ackn,"
yes
",,,,,,
16,50,B,yes,96.0,ackn,"
yeah ",,,,overlap,type,start
16,52,B,yes,99.0,ackn,"
yeah
",,,,,,
16,76,B,yes,134.0,answ,"
yeah
",closure,,,,,
16,92,B,yes,153.0,ackn,"
yeah
",,,,,,
16,114,B,yes,182.0,ackn,"
yeah
",,,,,,
17,4,B,yes,7.0,answ,"
yes
",closure,,,,,
17,15,A,yes,21.0,ackn,"
yes
",,,,,,
17,16,B,yes,23.0,ackn,"
yeah ",,,,overlap,type,end
17,25,A,yes,35.0,answ,"
yes
",,,,,,
17,33,A,yes,46.0,ackn,"
yeah
",,,,,,
17,36,B,yes,54.0,ackn,"
",,,,pause,,
17,36,B,yes,54.0,ackn,"
",,,,pause,,
17,48,B,yes,70.0,answ,"
erm yes
",,,,,,
17,50,B,yes,77.0,ackn,"
yeah
",,,,,,
17,56,B,yes,83.0,ackn,"
yeah
",,,,,,
18,2,B,yes,3.0,ackn,"
yeah
",,,,,,
18,8,B,yes,18.0,ackn,"
yeah
",,,,,,
18,21,A,yes,44.0,ackn,"
yeah
",,,,,,
18,25,A,yes,53.0,answ,"
yeah
",closure,,,,,
18,29,A,yes,67.0,answ,"
yes
",,,,,,
18,31,A,yes,71.0,accept,"
yes
",closure,,,,,
