Call_ID,Speaker,Dialogue,Intents,Ents
1,1,well,['EFFECT'],
1,2,thank you very much for calling card member services this is jack and can please have the card number,"['CAUSE', 'VERIFY_DETAIL', 'INTRODUCE_SELF', 'CARD', 'INTRODUCE_COMPANY', 'THANK_DIRECT']","(Jack, PERSON)"
1,1,yes,['ACCEPT_POS'],
1,2,thank you very much,['THANK_DIRECT'],
1,2,i have your name please,"['VERIFY_DETAIL', 'INTRODUCE_SELF', 'NAME']",
1,1,helena and graham,[],"(Graham, PERSON)"
1,1,also lena grimes what is on the card,"['VERIFY_DETAIL', 'CARD', 'INIT_DIRECT_MID']","(Lena Grimes, PERSON)"
1,2,have you,[],
1,2,phone number,['PHONE'],
1,1,mobile for,"['PHONE', 'CAUSE']",
1,2,thank you very much and how i can help you today,"['OFFER_DIRECT', 'THANK_DIRECT']","(today, DATE)"
1,2,ms graham,['ADDRESS_FORMAL'],"(Ms Graham, PERSON)"
1,1,yes hello,"['ACCEPT_POS', 'GREET_FORMAL']",
1,1,i am activated i got a couple of cards in the mile,['INTRODUCE_SELF'],
1,1,i am activated the i went to use that the whole and then it said it was the declined straight away and then obviously came out and then i tried to put in and then it said it was declined again and then another charge that an adult obviously for the phone call but yeah why is that happening,"['CONDITION_DIRECT', 'EFFECT', 'CAUSE', 'INIT_DIRECT_MID', 'AGREE_DIRECT', 'INTRODUCE_SELF', 'PHONE', 'ACCEPT_POS']",
1,2,well i can see the very first time you just try to make a purchase for,"['CAUSE', 'EFFECT']","(first, ORDINAL)"
1,2,as you know you would just have,"['REPEAT_DIRECT', 'EFFECT']",
1,1,that was a lady yeah i said put that and i will put the the other dollar on cash i see,"['REPEAT_DIRECT', 'ALTERNATIVE_DIRECT', 'ADDRESS_FORMAL', 'ACCEPT_POS', 'CLEAR_DIRECT']",
1,2,the,[],
1,1,best trends that you and that is,[],
1,2,and the second time she swiped it for,"['CAUSE', 'HOLD_DIRECT', 'INIT_DIRECT_MID']","(second, ORDINAL)"
1,2,again you have like at that time,['INIT_DIRECT_MID'],
1,2,you have been declined again yeah and now you have just so just make a purchase according to your available balance,"['EFFECT', 'CAUSE', 'VERIFY_DETAIL', 'INIT_DIRECT_MID', 'ACCEPT_POS']",
1,2,you will not get decline,['NEGATE_DIRECT'],
1,1,go yeah,['ACCEPT_POS'],
1,1,it was just that the girl at the shop must have put in the instead of the,['ALTERNATIVE_DIRECT'],
1,2,correct,['ACCEPT_POS'],
1,1,yeah,['ACCEPT_POS'],
1,1,you know otherwise just because yeah i thought it was very strange,"['CAUSE', 'REPEAT_DIRECT', 'ACCEPT_POS']",
1,1,like i said now and i when i when i use my next card,"['CAUSE', 'CONDITION_DIRECT', 'CARD', 'REPEAT_DIRECT']",
