,0.decl.0.backchannel.content,0.decl.0.pause.length,0.decl.mode,0.decl.n,0.decl.polarity,0.decl.sp-act,0.decl.text,0.decl.topic,0.dm.0.pause.length,0.dm.mode,0.dm.n,0.dm.polarity,0.dm.sp-act,0.dm.text,0.frag.0.overlap.type,0.frag.0.pause.length,0.frag.mode,0.frag.n,0.frag.polarity,0.frag.sp-act,0.frag.text,0.frag.topic,0.imp.mode,0.imp.n,0.imp.polarity,0.imp.sp-act,0.imp.text,0.imp.topic,0.no.mode,0.no.n,0.no.sp-act,0.no.text,0.q-wh.mode,0.q-wh.n,0.q-wh.polarity,0.q-wh.sp-act,0.q-wh.text,0.q-wh.topic,0.q-yn.0.overlap.type,0.q-yn.mode,0.q-yn.n,0.q-yn.polarity,0.q-yn.sp-act,0.q-yn.text,0.q-yn.topic,0.yes.mode,0.yes.n,0.yes.sp-act,0.yes.text,1.decl.0.overlap.type,1.decl.mode,1.decl.n,1.decl.polarity,1.decl.sp-act,1.decl.text,1.decl.topic,1.dm.n,1.dm.sp-act,1.dm.text,1.frag.mode,1.frag.n,1.frag.polarity,1.frag.sp-act,1.frag.text,1.frag.topic,1.q-yn.mode,1.q-yn.n,1.q-yn.polarity,1.q-yn.sp-act,1.q-yn.text,1.q-yn.topic,1.yes.n,1.yes.sp-act,1.yes.text,10.decl.0.backchannel.content,10.decl.mode,10.decl.n,10.decl.polarity,10.decl.sp-act,10.decl.text,10.decl.topic,11.decl.mode,11.decl.n,11.decl.polarity,11.decl.sp-act,11.decl.text,11.decl.topic,2.decl.mode,2.decl.n,2.decl.polarity,2.decl.sp-act,2.decl.text,2.decl.topic,2.dm.n,2.dm.polarity,2.dm.sp-act,2.dm.text,2.frag.0.backchannel.content,2.frag.mode,2.frag.n,2.frag.polarity,2.frag.sp-act,2.frag.text,2.frag.topic,2.q-wh.mode,2.q-wh.n,2.q-wh.polarity,2.q-wh.sp-act,2.q-wh.text,2.q-wh.topic,2.yes.0.pause.length,2.yes.n,2.yes.sp-act,2.yes.text,3.decl.0.backchannel.content,3.decl.mode,3.decl.n,3.decl.polarity,3.decl.sp-act,3.decl.text,3.decl.topic,3.frag.mode,3.frag.n,3.frag.polarity,3.frag.sp-act,3.frag.text,3.frag.topic,4.decl.0.backchannel.content,4.decl.0.overlap.type,4.decl.mode,4.decl.n,4.decl.polarity,4.decl.sp-act,4.decl.text,4.decl.topic,4.frag.mode,4.frag.n,4.frag.polarity,4.frag.sp-act,4.frag.text,4.frag.topic,5.decl.mode,5.decl.n,5.decl.polarity,5.decl.sp-act,5.decl.text,5.decl.topic,5.frag.mode,5.frag.n,5.frag.polarity,5.frag.sp-act,5.frag.text,5.frag.topic,6.decl.0.backchannel.content,6.decl.mode,6.decl.n,6.decl.polarity,6.decl.sp-act,6.decl.text,6.decl.topic,7.decl.0.backchannel.content,7.decl.mode,7.decl.n,7.decl.polarity,7.decl.sp-act,7.decl.text,7.decl.topic,7.frag.mode,7.frag.n,7.frag.polarity,7.frag.sp-act,7.frag.text,7.frag.topic,8.decl.0.backchannel.content,8.decl.mode,8.decl.n,8.decl.polarity,8.decl.sp-act,8.decl.text,8.decl.topic,8.dm.n,8.dm.sp-act,8.dm.text,9.decl.mode,9.decl.n,9.decl.polarity,9.decl.sp-act,9.decl.text,9.decl.topic,n,speaker,text
0,,,,,,,,,,,,,,,,,deixis-greet,1,positive,greet,"
good afternoon
",opening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deixis,2,positive,identifySelf,"
Virgin trainline Sandra speaking
",intro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,3,positive,reqDirect,"
for which journey do you wish to purchase a ticket
",journey-preference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,A,"
"
1,,,closure,4,positive,direct,"
em it's from Birmingham to em London Euston please
",to-location-from,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,B,"
"
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,closed,5,positive,reqInfo,"
is that Birmingham New Street
",location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,A,"
"
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,closure,6,answ,"
yeah
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,B,"
"
4,,,,,,,,,,,7,,init,"
now
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,closed-alternative,8,positive,reqInfo,"
do you hold a current debit or credit card
",creditcard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,A,"
"
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,answ,"
er yeah
",,,,,,,,,,,closure,10,positive,answElab,"
a debit card
",creditcard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,B,"
"
6,,,,,,,,,,,11,,init,"
now ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,closed,12,positive,reqInfo,"
do you have a rail card
",railcard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,A,"
"
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,closure,13,answ,"
no
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,B,"
"
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,14,positive,reqInfo,"
and how many people's travelling
",number-journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,A,"
"
9,,,,,,,,,,,,,,,,,partial-closure,15,positive,answ,"
one
",number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,B,"
"
