,DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
0,1,1,1,dm,1,muse,"
Well
",,,,,,
1,1,1,1,frag,2,refer,"
",,,positive,punct,type,stop
2,1,2,2,frag,3,direct,"
Thank you very much for calling card member services this is Jack and can please have the card number
",request,number,positive,,,
3,1,3,1,yes,4,acknowledge,"
Yes
",,,,,,
4,1,3,1,frag,5,enumerate,"
4088
",,enum,positive,,,
5,1,4,1,frag,6,enumerate,"
560800446031
",,enum,positive,,,
6,1,5,2,frag,7,state,"
Thank you very much
",,,positive,,,
7,1,5,2,frag,8,refer,"
",,,positive,punct,type,stop
8,1,6,2,frag,9,direct,"
May I Have your name please
",request-partial,spell-month,positive,,,
9,1,6,2,frag,10,refer,"
",,,positive,punct,type,stop
10,1,7,1,frag,11,referPlace,"
Selena and Graham
",,location_Anglo,positive,,,
11,1,7,1,frag,12,refer,"
",,,positive,punct,type,stop
12,1,8,1,dm,13,initFollowUp,"
Also
",,,,,,
13,1,8,1,frag,14,refer,"
Lena Grimes what's on the card
",partial,,positive,,,
14,1,8,1,frag,15,refer,"
",,,positive,punct,type,stop
15,1,9,2,frag,16,reqConfirm,"
May Ihave you
",tag-partial,month,positive,,,
16,1,9,2,frag,17,refer,"
",,,positive,punct,type,stop
17,1,10,2,frag,18,confirm-refer,"
Phone number
",partial,number,positive,,,
18,1,11,1,frag,19,enumerate,"
60
",,enum,positive,,,
19,1,12,1,frag,20,refer,"
Mobile 0 for one eight one eight 6649
",,enum-number,positive,,,
20,1,12,1,frag,21,refer,"
",,,positive,punct,type,stop
21,1,13,2,frag,22,spell,"
Thank you very much and how I can help you today
",benefit2,spell,positive,,,
22,1,13,2,frag,23,refer,"
",,,positive,punct,type,stop
23,1,14,2,frag,24,refer,"
Ms
",,,positive,,,
24,1,14,2,frag,25,refer,"
",,,positive,punct,type,stop
25,1,14,2,frag,26,refer,"
Graham
",,location_Anglo,positive,,,
26,1,14,2,frag,27,refer,"
",,,positive,punct,type,stop
27,1,15,1,yes,28,acknowledge,"
Yes
",,,,,,
28,1,15,1,frag,29,greet,"
hello
",,,,,,
29,1,15,1,frag,30,refer,"
",,,positive,punct,type,stop
30,1,16,1,decl,31,state,"
I'm activated I got a couple of cards  in the Mile
",,spell-enum,positive,,,
31,1,16,1,frag,32,refer,"
",,,positive,punct,type,stop
32,1,17,1,decl,33,report,"
I'm activated the $25 one I went to use that the whole $25 one and then it said it was the declined straight away and then obviously $0
",conviction-report,enum-spell-number,positive,,,
33,1,17,1,frag,34,refer,"
",,,positive,punct,type,stop
34,1,17,1,decl,35,report,"
15 came out and then I tried to put in 20 4 and then it said it was declined again and then another $0
",report,enum-spell,positive,,,
35,1,17,1,frag,36,refer,"
",,,positive,punct,type,stop
36,1,17,1,decl,37,state,"
15 charge that an adult 20 obviously for the phone call but yeah why is that happening
",conviction-contrast,enum,positive,,,
37,1,18,2,dm,38,muse,"
Well
",,,,,,
38,1,18,2,decl,39,expressPossibility,"
I can see the very first time you just try to make a purchase for $26
",,enum-spell-time,positive,,,
39,1,18,2,frag,40,refer,"
",,,positive,punct,type,stop
40,1,19,2,frag,41,state,"
As you know you would just have
",,,positive,,,
41,1,20,1,decl,42,report,"
That was a lady yeah I said put 25 that and I'll put the the other  dollar on cash I see
",report,spell-currency-enum,positive,,,
42,1,21,2,frag,43,refer,"
The
",,,positive,,,
43,1,22,1,frag,44,state,"
Best trends that you and that's
",,,positive,,,
44,1,23,2,frag,45,referTime,"
And the second time she swiped  it for $25
",,time-enum,positive,,,
45,1,23,2,frag,46,refer,"
",,,positive,punct,type,stop
46,1,24,2,frag,47,referTime,"
Again you have like 2485 at that time
",preference2,time-enum,positive,,,
47,1,24,2,frag,48,refer,"
",,,positive,punct,type,stop
48,1,25,2,decl,49,stateOpt,"
You have been declined again yeah and now you have just 2470 so just make a purchase according to your available balance
",attribution,availability-enum,positive,,,
49,1,25,2,frag,50,refer,"
",,,positive,punct,type,stop
50,1,26,2,decl,51,state,"
You will not get decline
",,,negative,,,
51,1,27,1,frag,52,reqConfirm,"
Go yeah
",tag,,positive,,,
52,1,27,1,frag,53,refer,"
",,,positive,punct,type,stop
53,1,28,1,decl,54,confirm-stateConstraint,"
it was just that the girl at the shop must've put in the 26 instead of the 24th
",constrain-contrast-alternative,enum,positive,,,
54,1,28,1,frag,55,elab-refer,"
",,,positive,punct,type,stop
55,1,29,2,dm,56,agree,"
Correct
",,,,,,
56,1,30,1,yes,57,acknowledge,"
Yeah
",,,,,,
57,1,30,1,frag,58,refer,"
",,,positive,punct,type,stop
58,1,31,1,frag,59,stateReason,"
25 you know otherwise just because yeah I thought it was very strange
",reason-alternative,spell-enum,positive,,,
59,1,31,1,frag,60,refer,"
",,,positive,punct,type,stop
60,1,32,1,dm,61,reaffirm,"
Like I said
",,,,,,
61,1,32,1,dm,62,init,"
now
",,,,,,
62,1,32,1,frag,63,spell,"
and I when I when I use my next card
",,spell-time,positive,,,
63,1,32,1,frag,64,refer,"
",,,positive,punct,type,stop
64,1,33,1,decl,65,state,"
I know what to do
",,spell,positive,,,
65,1,34,1,frag,66,state,"
Thank you for that anyway
",,,positive,,,
66,1,34,1,frag,67,refer,"
",,,positive,punct,type,stop
67,1,35,1,frag,68,state,"
Your all welcome
",,,positive,,,
68,1,36,2,frag,69,spell,"
Is there anything else I can help you more
",benefit2,spell-location,positive,,,
69,1,36,2,frag,70,refer,"
",,,positive,punct,type,stop
70,1,37,1,no,71,negate,"
No
",,,,,,
71,1,37,1,frag,72,spell,"
I that's a lot that
",,spell,positive,,,
72,1,37,1,frag,73,refer,"
",,,positive,punct,type,stop
73,1,38,2,frag,74,state,"
Thank you very much for your call and having a wonderful day
",,,positive,,,
74,1,38,2,frag,75,refer,"
",,,positive,punct,type,stop
75,1,39,2,frag,76,bye,"
Bye
",,,,,,
76,1,39,2,frag,77,refer,"
",,,positive,punct,type,stop
77,1,40,1,dm,78,acknowledge,"
Okay
",,,,,,
78,1,40,1,frag,79,refer,"
",,,positive,punct,type,stop
79,1,41,1,frag,80,bye,"
Bye
",,,,,,
