DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
1,1,A,frag,1,greet,"
good afternoon
",deixis-greet,opening,positive,,,
1,1,A,frag,2,identifySelf,"
Virgin trainline Sandra speaking
",deixis,intro,positive,,,
1,1,A,q-wh,3,reqDirect,"
for which journey do you wish to purchase a ticket
",open,journey-preference,positive,,,
1,2,B,decl,4,direct,"
em it's from Birmingham to em London Euston please
",closure,to-location-from,positive,,,
1,3,A,q-yn,5,reqInfo,"
is that Birmingham New Street
",closed,location,positive,,,
1,4,B,yes,6,answ,"
yeah
",closure,,,,,
1,5,A,dm,7,init,"
now
",,,,,,
1,5,A,q-yn,8,reqInfo,"
do you hold a current debit or credit card
",closed-alternative,creditcard,positive,,,
1,6,B,yes,9,answ,"
er yeah
",,,,,,
1,6,B,frag,10,answElab,"
a debit card
",closure,creditcard,positive,,,
1,7,A,dm,11,init,"
now ",,,,pause,,
1,7,A,q-yn,12,reqInfo,"
do you have a rail card
",closed,railcard,positive,,,
1,8,B,no,13,answ,"
no
",closure,,,,,
1,9,A,q-wh,14,reqInfo,"
and how many people's travelling
",open,number-journey,positive,,,
1,10,B,frag,15,answ,"
one
",partial-closure,number,positive,,,
1,11,A,q-wh,16,reqInfo,"
and what date is it you're travelling out
",open,date-journey,positive,,,
1,12,B,decl,17,answ,"
the eighth of October
",closure,month-date,positive,,,
1,13,A,frag,18,reqInfo,"
",open,time-departure,positive,pause,,
1,14,B,decl,19,answ,"
i'd like to leave on the 7 33 train
",intent-closure,departure-preference-time,positive,,,
1,15,A,frag,20,confirm,"
from Birmingham International
",deixis,location-from,positive,,,
1,16,B,frag,21,correct,"
New Street
",deixis,,positive,,,
1,17,A,dm,22,expressRegret,"
sorry
",regret,,,,,
1,17,A,frag,23,correctSelf,"
Birmingham New Street
",deixis,location,positive,,,
1,17,A,yes,24,ackn,"
yeah ",,,,pause,length,10s
1,17,A,decl,25,inform,"
there's the 7 33 from Birmingham New Street
",exists,location-enum-from,positive,,,
1,17,A,frag,26,inform,"
arriving at 9 05 in Euston
",deixis,location-time-arrival,positive,,,
1,18,B,yes,27,ackn,"
yeah
",,,,,,
1,19,A,q-wh,28,reqInfo,"
and when is it you're returning
",open,time-return,positive,,,
1,20,B,frag,29,answ,"
em same day on the em 17 15
",deixis-closure,day-enum,positive,,,
1,21,A,frag,30,confirm,"
",deixis,time-arrival,positive,pause,length,7s
1,21,A,frag,30,confirm,"
",deixis,time-arrival,positive,pause,,
1,22,B,yes,31,ackn,"
yeah ",,,,pause,,
1,23,A,dm,32,init,"
now
",,,,,,
1,23,A,decl,33,informIntent-hold,"
i'm just going to check to see what's your cheapest fare available to you
",reportIntent,fare-avail-verify,positive,,,
1,23,A,dm,34,init,"
so
",,,,,,
1,23,A,decl,35,hold,"
if you can ",poss2-condition-manage,hold,positive,backchannel,content,yes
1,24,B,frag,36,thank,"
thank you
",,,,,,
1,25,A,decl,37,confirm,"
and that's for the eighth of October
",,month-date,positive,,,
1,26,B,yes,38,ackn,"
yeah
",,,,,,
1,27,A,dm,39,init,"
",,,,pause,length,20s
1,27,A,frag,40,inform,"
because of the time that you're travelling out ",reason,time-location-journey,positive,pause,,
1,27,A,decl,41,inform,"
there's not any advance purchase tickets left ",exists,fare-journey,negative,pause,,
1,27,A,decl,42,inform,"
they've now been booked up
",,avail,positive,,,
1,28,B,dm,43,ackn,"
right
",,,positive,,,
1,29,A,decl,44,inform-disc,"
and the cheapest way to do it is going to is
",,fare,positive,,,
1,29,A,decl,45,inform,"
cos it's the normal price
",reason,,positive,,,
1,29,A,frag,46,inform-cont,"
is gonna be standard open return at 61 pounds 50 ",,fare,positive,backchannel,content,right
1,29,A,decl,47,inform,"
but you reduce that slightly ",constrain,fare,positive,pause,,
1,29,A,decl,48,inform,"
you'll be able to get the standard open single at 33 pounds on your outward service
",,fare,positive,,,
1,29,A,frag,49,refer,"
then on the return
",deixis,fare,positive,,,
1,29,A,decl,50,inform,"
as long as you're prepared to stick to the date and time ",condition,time-date,positive,backchannel,content,yes
1,29,A,decl,51,inform,"
you can get the Virgin value single at 7 pounds ",poss2,fare,positive,backchannel,content,right
1,29,A,dm,52,init,"
so
",,,,,,
1,29,A,decl,53,inform,"
that's going to save you 21 pounds 50 there
",,fare,positive,,,
1,30,B,decl,54,appreciate,"
that's fine
",reassurance-appreciate,,positive,,,
1,30,B,yes,55,ackn,"
yeah ",,,,pause,,
1,31,A,dm,56,init,"
so
",,,,,,
1,31,A,decl,57,informIntent,"
i'll just gonna book ",intent,booking,positive,pause,,
1,31,A,dm,58,init,"
so
",,,,,,
1,31,A,decl,59,inform,"
we say it's a return journey
",,fare-journey,positive,,,
1,31,A,decl,60,inform,"
but it's classed as two ",constrain,number-fare,positive,overlap,type,start
1,32,B,yes,61,ackn,"
yeah
",,,,,,
1,32,B,decl,62,appreciate,"
",reassurance-appreciate,,positive,overlap,type,end
1,32,B,yes,63,ackn,"
yeah
",,,,,,
1,33,A,dm,64,init,"
now
",,,,,,
1,33,A,frag,65,confirm,"
on the eighth October
",deixis,month,positive,,,
1,33,A,decl,66,confirm,"
you're travelling from Birmingham New Street at 7 33 ",,time-location-from-journey,positive,pause,,
1,33,A,frag,67,confirm,"
arriving in Euston at 9 05
",deixis,location-time-arrival,positive,,,
1,34,B,yes,68,ackn,"
yeah
",,,,,,
1,35,A,q-yn,69,reqDirect,"
would you like smoking or non smoking
",closed-alternative,preference-seat,positive,,,
1,36,B,frag,70,direct,"
non smoking ",closure,seat,positive,overlap,type,start
1,37,A,q-yn,71,reqDirect,"
and ",closed,preference-booking-seat,positive,overlap,type,end
1,38,B,frag,72,direct,"
erm ",condition-closure,seat,positive,pause,,
1,39,A,dm,73,accept,"
ok ",,,positive,pause,length,3s
1,39,A,decl,74,inform,"
that's booked for you
",benefit,booking,positive,,,
1,39,A,dm,75,init,"
now
",,,,,,
1,39,A,decl,76,confirm,"
i'm booking from Euston to Birmingham New Street
",reportIntent,to-location-from-booking,positive,,,
1,40,B,dm,77,ackn,"
alright
",,,positive,,,
1,41,A,frag,78,confirm,"
on the 8th again ",deixis,,positive,pause,length,2s
1,41,A,frag,79,confirm,"
departing 17 15
",deixis,departure-time,positive,,,
1,42,B,yes,80,ackn,"
yep
",,,,,,
1,43,A,decl,81,confirm,"
",,fare,positive,pause,length,3s
1,44,B,yes,82,ackn,"
yep
",,,,,,
1,45,A,decl,83,informIntent,"
i'm going to book you a forward facing seat again ",intent-report,seat-booking,positive,pause,length,2s
1,45,A,dm,84,init,"
now
",,,,,,
1,45,A,frag,85,refer,"
with the standard open single
",deixis,fare,positive,,,
1,45,A,decl,86,inform,"
if you miss the service i've reserved you on
",condition,miss,positive,,,
1,45,A,decl,87,inform,"
you are able to get the next available train ",poss2,avail,positive,backchannel,content,right
1,45,A,decl,88,inform,"
and it's a full refund less 5 pounds
",,refund-fare,positive,,,
1,45,A,decl,89,inform,"
if you have to cancel ",condition-constrain,cancel,positive,backchannel,content,right
1,45,A,frag,90,refer,"
but with the Virgin value fare
",deixis-constrain,fare,positive,,,
1,45,A,decl,91,inform,"
you must stick to the date and time that you book ",constrain,time-date-booking,positive,backchannel,content,right
1,45,A,decl,92,inform,"
if you wanted to change the time of that travel
",condition,preference-time-journey,positive,,,
1,45,A,decl,93,inform,"
you must do so by 6 o'clock the day before your outward journey ",constrain,time-day-journey,positive,backchannel,content,yeah
1,45,A,decl,94,inform,"
and it's subject to availability and 5 pounds charge
",constrain,avail-fare,positive,,,
1,46,B,dm,95,ackn,"
right
",,,positive,,,
1,47,A,dm,96,init,"
now
",,,,,,
1,47,A,frag,97,reqInfo,"
your surname please
",open,name,positive,,,
1,48,B,frag,98,answ,"
{surname}%5%18%16%5%23%18%0 {letter}%5 {letter}%18 {letter}%16 {letter}%5 {letter}%23 {letter}%18 {letter}%0
",closure,spell-name,positive,,,
1,49,A,frag,99,reqInfo,"
",open,name,positive,pause,,
1,50,B,frag,100,answ,"
{letter}%11
",partial-closure,spell,positive,,,
1,51,A,frag,101,reqInfo,"
and your title
",open,name,positive,,,
1,52,B,frag,102,answ,"
Doctor
",partial-closure,,positive,,,
1,53,A,frag,103,reqInfo,"
and your contact telephone number
",open,telephone-number,positive,,,
1,54,B,frag,104,answ,"
em 0 1 1 1
",closure,enum,positive,,,
1,55,A,dm,105,ackn,"
",,,positive,pause,,
1,56,B,frag,106,answElab,"
1 0 5
",,enum,positive,,,
1,57,A,dm,107,ackn,"
",,,positive,pause,,
1,58,B,frag,108,answElab,"
1 2 1 8
",,enum,positive,,,
1,59,A,frag,109,reqInfo,"
",open,creditcard-address,positive,pause,length,2s
1,60,B,frag,110,answ,"
{letter}%11 36 ",closure,enum-spell,positive,pause,,
1,61,A,imp,111,direct,"
and confirm that address for me please
",,confirm-address,positive,,,
1,62,B,decl,112,answ,"
it's %street Avenue ",,name-address,positive,pause,,
1,62,B,decl,113,answElab,"
it's number 11
",,number,positive,,,
1,63,A,frag,114,echo,"
11 ",partial,enum,positive,pause,,
1,63,A,decl,115,reqInfo,"
and ",,number-creditcard,positive,pause,,
1,64,B,decl,116,correct,"
it's a debit card ",,creditcard,positive,backchannel,content,aha
1,64,B,frag,117,answ,"
number 1 3 5
",deixis,enum-number,positive,,,
1,65,A,frag,118,echo,"
1 3 5
",,enum,positive,,,
1,66,B,frag,119,answElab,"
5 3 1
",,enum,positive,,,
1,67,A,frag,120,echo,"
5 3 1
",,enum,positive,,,
1,68,B,frag,121,answElab,"
1 5 1
",,enum,positive,,,
1,69,A,frag,122,echo,"
1 5 1
",,enum,positive,,,
1,70,B,frag,123,answElab,"
8 6 1
",,enum,positive,,,
1,71,A,frag,124,echo,"
8 6 1
",,enum,positive,,,
1,72,B,frag,125,answElab,"
9 1 1
",,enum,positive,,,
1,73,A,frag,126,echo,"
9 1 1
",,enum,positive,,,
1,74,B,frag,127,answElab,"
0 1 5
",,enum,positive,,,
1,75,A,frag,128,echo,"
0 1 5
",,enum,positive,,,
1,75,A,frag,129,reqInfo,"
and the issue number
",,number,positive,,,
1,76,B,frag,130,inform,"
2
",partial,enum,positive,,,
1,77,A,frag,131,reqInfo,"
and the expiry date
",,creditcard,positive,,,
1,78,B,frag,132,inform,"
November this year
",,month,positive,,,
1,79,A,dm,133,init,"
",,,,pause,length,3s
