,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
key,0_decl_0_backchannel_content,0_decl_0_pause_length,0_decl_mode,0_decl_n,0_decl_polarity,0_decl_sp-act,0_decl_text,0_decl_topic,0_dm_0_pause_length,0_dm_mode,0_dm_n,0_dm_polarity,0_dm_sp-act,0_dm_text,0_frag_0_overlap_type,0_frag_0_pause_length,0_frag_mode,0_frag_n,0_frag_polarity,0_frag_sp-act,0_frag_text,0_frag_topic,0_imp_mode,0_imp_n,0_imp_polarity,0_imp_sp-act,0_imp_text,0_imp_topic,0_no_mode,0_no_n,0_no_sp-act,0_no_text,0_q-wh_mode,0_q-wh_n,0_q-wh_polarity,0_q-wh_sp-act,0_q-wh_text,0_q-wh_topic,0_q-yn_0_overlap_type,0_q-yn_mode,0_q-yn_n,0_q-yn_polarity,0_q-yn_sp-act,0_q-yn_text,0_q-yn_topic,0_yes_mode,0_yes_n,0_yes_sp-act,0_yes_text,10_decl_0_backchannel_content,10_decl_mode,10_decl_n,10_decl_polarity,10_decl_sp-act,10_decl_text,10_decl_topic,11_decl_mode,11_decl_n,11_decl_polarity,11_decl_sp-act,11_decl_text,11_decl_topic,1_decl_0_overlap_type,1_decl_mode,1_decl_n,1_decl_polarity,1_decl_sp-act,1_decl_text,1_decl_topic,1_dm_n,1_dm_sp-act,1_dm_text,1_frag_mode,1_frag_n,1_frag_polarity,1_frag_sp-act,1_frag_text,1_frag_topic,1_q-yn_mode,1_q-yn_n,1_q-yn_polarity,1_q-yn_sp-act,1_q-yn_text,1_q-yn_topic,1_yes_n,1_yes_sp-act,1_yes_text,2_decl_mode,2_decl_n,2_decl_polarity,2_decl_sp-act,2_decl_text,2_decl_topic,2_dm_n,2_dm_polarity,2_dm_sp-act,2_dm_text,2_frag_0_backchannel_content,2_frag_mode,2_frag_n,2_frag_polarity,2_frag_sp-act,2_frag_text,2_frag_topic,2_q-wh_mode,2_q-wh_n,2_q-wh_polarity,2_q-wh_sp-act,2_q-wh_text,2_q-wh_topic,2_yes_0_pause_length,2_yes_n,2_yes_sp-act,2_yes_text,3_decl_0_backchannel_content,3_decl_mode,3_decl_n,3_decl_polarity,3_decl_sp-act,3_decl_text,3_decl_topic,3_frag_mode,3_frag_n,3_frag_polarity,3_frag_sp-act,3_frag_text,3_frag_topic,4_decl_0_backchannel_content,4_decl_0_overlap_type,4_decl_mode,4_decl_n,4_decl_polarity,4_decl_sp-act,4_decl_text,4_decl_topic,4_frag_mode,4_frag_n,4_frag_polarity,4_frag_sp-act,4_frag_text,4_frag_topic,5_decl_mode,5_decl_n,5_decl_polarity,5_decl_sp-act,5_decl_text,5_decl_topic,5_frag_mode,5_frag_n,5_frag_polarity,5_frag_sp-act,5_frag_text,5_frag_topic,6_decl_0_backchannel_content,6_decl_mode,6_decl_n,6_decl_polarity,6_decl_sp-act,6_decl_text,6_decl_topic,7_decl_0_backchannel_content,7_decl_mode,7_decl_n,7_decl_polarity,7_decl_sp-act,7_decl_text,7_decl_topic,7_frag_mode,7_frag_n,7_frag_polarity,7_frag_sp-act,7_frag_text,7_frag_topic,8_decl_0_backchannel_content,8_decl_mode,8_decl_n,8_decl_polarity,8_decl_sp-act,8_decl_text,8_decl_topic,8_dm_n,8_dm_sp-act,8_dm_text,9_decl_mode,9_decl_n,9_decl_polarity,9_decl_sp-act,9_decl_text,9_decl_topic,n,speaker,text
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"
3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,greet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,opening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,deixis-greet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,"
good afternoon
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
