dict-type,find,replace
contractions,ain't,am not
contractions,aren't,are not
contractions,can't,can not
contractions,can't've,can not have
contractions,'cause,because
contractions,could've,could have
contractions,couldn't,could not
contractions,couldn't've,could not have
contractions,didn't,did not
contractions,doesn't,does not
contractions,don't,do not
contractions,hadn't,had not
contractions,hadn't've,had not have
contractions,hasn't,has not
contractions,haven't,have not
contractions,he'd,he had
contractions,he'd've,he would have
contractions,he'll,he will
contractions,he'll've,he will have
contractions,he's,he is
contractions,how'd,how did
contractions,how'd'y,how do you
contractions,how'll,how will
contractions,how's,how is
contractions,i'd,i would
contractions,i'd've,i would have
contractions,i'll,i will
contractions,i'll've,i will have
contractions,i'm,i am
contractions,i've,i have
contractions,isn't,is not
contractions,it'd,it would
contractions,it'd've,it would have
contractions,it'll,it will
contractions,it'll've,it will have
contractions,it's,it is
contractions,let's,let us
contractions,ma'am,madam
contractions,mayn't,may not
contractions,might've,might have
contractions,mightn't,might not
contractions,mightn't've,might not have
contractions,must've,must have
contractions,mustn't,must not
contractions,mustn't've,must not have
contractions,needn't,need not
contractions,needn't've,need not have
contractions,o'clock,of the clock
contractions,oughtn't,ought not
contractions,oughtn't've,ought not have
contractions,shan't,shall not
contractions,sha'n't,shall not
contractions,shan't've,shall not have
contractions,she'd,she would
contractions,she'd've,she would have
contractions,she'll,she will
contractions,she'll've,she will have
contractions,she's,she is
contractions,should've,should have
contractions,shouldn't,should not
contractions,shouldn't've,should not have
contractions,so've,so have
contractions,so's,so is
contractions,that'd,that would
contractions,that'd've,that would have
contractions,that's,that is
contractions,there'd,there would
contractions,there'd've,there would have
contractions,there's,there is
contractions,they'd,they would
contractions,they'd've,they would have
contractions,they'll,they will
contractions,they'll've,they will have
contractions,they're,they are
contractions,they've,they have
contractions,to've,to have
contractions,wasn't,was not
contractions,we'd,we would
contractions,we'd've,we would have
contractions,we'll,we will
contractions,we'll've,we will have
contractions,we're,we are
contractions,we've,we have
contractions,weren't,were not
contractions,what'll,what will
contractions,what'll've,what will have
contractions,what're,what are
contractions,what's,what is
contractions,what've,what have
contractions,when's,when is
contractions,when've,when have
contractions,where'd,where did
contractions,where's,where is
contractions,where've,where have
contractions,who'll,who will
contractions,who'll've,who will have
contractions,who's,who is
contractions,who've,who have
contractions,why's,why is
contractions,why've,why have
contractions,will've,will have
contractions,won't,will not
contractions,won't've,will not have
contractions,would've,would have
contractions,wouldn't,would not
contractions,wouldn't've,would not have
contractions,y'all,you all
contractions,y'all'd,you all would
contractions,y'all'd've,you all would have
contractions,y'all're,you all are
contractions,y'all've,you all have
contractions,you'd,you would
contractions,you'd've,you would have
contractions,you'll,you will
contractions,you'll've,you will have
contractions,you're,you are
contractions,you've,you have
contractions,here's,here is
contractions,something's,something is
punctuation,!,%PUNCTUATION
punctuation,"""",%PUNCTUATION
punctuation,#,%PUNCTUATION
punctuation,$,%PUNCTUATION
punctuation,%,%PUNCTUATION
punctuation,&,%PUNCTUATION
punctuation,',%PUNCTUATION
punctuation,(,%PUNCTUATION
punctuation,),%PUNCTUATION
punctuation,*,%PUNCTUATION
punctuation,+,%PUNCTUATION
punctuation,",",%PUNCTUATION
punctuation,-,%PUNCTUATION
punctuation,.,%PUNCTUATION
punctuation,/,%PUNCTUATION
punctuation,:,%PUNCTUATION
punctuation,;,%PUNCTUATION
punctuation,<,%PUNCTUATION
punctuation,=,%PUNCTUATION
punctuation,>,%PUNCTUATION
punctuation,?,%PUNCTUATION
punctuation,@,%PUNCTUATION
punctuation,[,%PUNCTUATION
punctuation,\,%PUNCTUATION
punctuation,],%PUNCTUATION
punctuation,^,%PUNCTUATION
punctuation,_,%PUNCTUATION
punctuation,`,%PUNCTUATION
punctuation,{,%PUNCTUATION
punctuation,|,%PUNCTUATION
punctuation,},%PUNCTUATION
punctuation,~,%PUNCTUATION
email,\w*@\w*\.\w*,%EMAIL
email,\w*\sdot\s\w*,%EMAIL
numeric,one,%NUMERIC
numeric,two,%NUMERIC
numeric,three,%NUMERIC
numeric,four,%NUMERIC
numeric,five,%NUMERIC
numeric,six,%NUMERIC
numeric,seven,%NUMERIC
numeric,eight,%NUMERIC
numeric,nine,%NUMERIC
numeric,ten,%NUMERIC
numeric,eleven,%NUMERIC
numeric,twelve,%NUMERIC
numeric,thirteen,%NUMERIC
numeric,fourteen,%NUMERIC
numeric,fifteen,%NUMERIC
numeric,sixteen,%NUMERIC
numeric,seventeen,%NUMERIC
numeric,eighteen,%NUMERIC
numeric,nineteen,%NUMERIC
numeric,twenty,%NUMERIC
numeric,thirty,%NUMERIC
numeric,forty,%NUMERIC
numeric,fifty,%NUMERIC
numeric,sixty,%NUMERIC
numeric,seventy,%NUMERIC
numeric,eighty,%NUMERIC
numeric,ninety,%NUMERIC
numeric,hundred,%NUMERIC
numeric,thousand,%NUMERIC
numeric,million,%NUMERIC
numeric,billion,%NUMERIC
numeric,trillion,%NUMERIC
numeric,\d*,%NUMERIC
date,january,%NUMERIC
date,february,%DATE
date,march,%DATE
date,april,%DATE
date,may,%DATE
date,june,%DATE
date,july,%DATE
date,august,%DATE
date,september,%DATE
date,october,%DATE
date,november,%DATE
date,december,%DATE
date,\d\\\d\\\d,%DATE
stop-words,i,%STOPWORDS
stop-words,me,%STOPWORDS
stop-words,my,%STOPWORDS
stop-words,myself,%STOPWORDS
stop-words,we,%STOPWORDS
stop-words,our,%STOPWORDS
stop-words,ours,%STOPWORDS
stop-words,ourselves,%STOPWORDS
stop-words,you,%STOPWORDS
stop-words,you're,%STOPWORDS
stop-words,you've,%STOPWORDS
stop-words,you'll,%STOPWORDS
stop-words,you'd,%STOPWORDS
stop-words,your,%STOPWORDS
stop-words,yours,%STOPWORDS
stop-words,yourself,%STOPWORDS
stop-words,yourselves,%STOPWORDS
stop-words,he,%STOPWORDS
stop-words,him,%STOPWORDS
stop-words,his,%STOPWORDS
stop-words,himself,%STOPWORDS
stop-words,she,%STOPWORDS
stop-words,she's,%STOPWORDS
stop-words,her,%STOPWORDS
stop-words,hers,%STOPWORDS
stop-words,herself,%STOPWORDS
stop-words,it,%STOPWORDS
stop-words,it's,%STOPWORDS
stop-words,its,%STOPWORDS
stop-words,itself,%STOPWORDS
stop-words,they,%STOPWORDS
stop-words,them,%STOPWORDS
stop-words,their,%STOPWORDS
stop-words,theirs,%STOPWORDS
stop-words,themselves,%STOPWORDS
stop-words,what,%STOPWORDS
stop-words,which,%STOPWORDS
stop-words,who,%STOPWORDS
stop-words,whom,%STOPWORDS
stop-words,this,%STOPWORDS
stop-words,that,%STOPWORDS
stop-words,that'll,%STOPWORDS
stop-words,these,%STOPWORDS
stop-words,those,%STOPWORDS
stop-words,am,%STOPWORDS
stop-words,is,%STOPWORDS
stop-words,are,%STOPWORDS
stop-words,was,%STOPWORDS
stop-words,were,%STOPWORDS
stop-words,be,%STOPWORDS
stop-words,been,%STOPWORDS
stop-words,being,%STOPWORDS
stop-words,have,%STOPWORDS
stop-words,has,%STOPWORDS
stop-words,had,%STOPWORDS
stop-words,having,%STOPWORDS
stop-words,do,%STOPWORDS
stop-words,does,%STOPWORDS
stop-words,did,%STOPWORDS
stop-words,doing,%STOPWORDS
stop-words,a,%STOPWORDS
stop-words,an,%STOPWORDS
stop-words,the,%STOPWORDS
stop-words,and,%STOPWORDS
stop-words,but,%STOPWORDS
stop-words,if,%STOPWORDS
stop-words,or,%STOPWORDS
stop-words,because,%STOPWORDS
stop-words,as,%STOPWORDS
stop-words,until,%STOPWORDS
stop-words,while,%STOPWORDS
stop-words,of,%STOPWORDS
stop-words,at,%STOPWORDS
stop-words,by,%STOPWORDS
stop-words,for,%STOPWORDS
stop-words,with,%STOPWORDS
stop-words,about,%STOPWORDS
stop-words,against,%STOPWORDS
stop-words,between,%STOPWORDS
stop-words,into,%STOPWORDS
stop-words,through,%STOPWORDS
stop-words,during,%STOPWORDS
stop-words,before,%STOPWORDS
stop-words,after,%STOPWORDS
stop-words,above,%STOPWORDS
stop-words,below,%STOPWORDS
stop-words,to,%STOPWORDS
stop-words,from,%STOPWORDS
stop-words,up,%STOPWORDS
stop-words,down,%STOPWORDS
stop-words,in,%STOPWORDS
stop-words,out,%STOPWORDS
stop-words,on,%STOPWORDS
stop-words,off,%STOPWORDS
stop-words,over,%STOPWORDS
stop-words,under,%STOPWORDS
stop-words,again,%STOPWORDS
stop-words,further,%STOPWORDS
stop-words,then,%STOPWORDS
stop-words,once,%STOPWORDS
stop-words,here,%STOPWORDS
stop-words,there,%STOPWORDS
stop-words,when,%STOPWORDS
stop-words,where,%STOPWORDS
stop-words,why,%STOPWORDS
stop-words,how,%STOPWORDS
stop-words,all,%STOPWORDS
stop-words,any,%STOPWORDS
stop-words,both,%STOPWORDS
stop-words,each,%STOPWORDS
stop-words,few,%STOPWORDS
stop-words,more,%STOPWORDS
stop-words,most,%STOPWORDS
stop-words,other,%STOPWORDS
stop-words,some,%STOPWORDS
stop-words,such,%STOPWORDS
stop-words,no,%STOPWORDS
stop-words,nor,%STOPWORDS
stop-words,not,%STOPWORDS
stop-words,only,%STOPWORDS
stop-words,own,%STOPWORDS
stop-words,same,%STOPWORDS
stop-words,so,%STOPWORDS
stop-words,than,%STOPWORDS
stop-words,too,%STOPWORDS
stop-words,very,%STOPWORDS
stop-words,s,%STOPWORDS
stop-words,t,%STOPWORDS
stop-words,can,%STOPWORDS
stop-words,will,%STOPWORDS
stop-words,just,%STOPWORDS
stop-words,don,%STOPWORDS
stop-words,don't,%STOPWORDS
stop-words,should,%STOPWORDS
stop-words,should've,%STOPWORDS
stop-words,now,%STOPWORDS
stop-words,d,%STOPWORDS
stop-words,ll,%STOPWORDS
stop-words,m,%STOPWORDS
stop-words,o,%STOPWORDS
stop-words,re,%STOPWORDS
stop-words,ve,%STOPWORDS
stop-words,y,%STOPWORDS
stop-words,ain,%STOPWORDS
stop-words,aren,%STOPWORDS
stop-words,aren't,%STOPWORDS
stop-words,couldn,%STOPWORDS
stop-words,couldn't,%STOPWORDS
stop-words,didn,%STOPWORDS
stop-words,didn't,%STOPWORDS
stop-words,doesn,%STOPWORDS
stop-words,doesn't,%STOPWORDS
stop-words,hadn,%STOPWORDS
stop-words,hadn't,%STOPWORDS
stop-words,hasn,%STOPWORDS
stop-words,hasn't,%STOPWORDS
stop-words,haven,%STOPWORDS
stop-words,haven't,%STOPWORDS
stop-words,isn,%STOPWORDS
